[verify] step0 checkpoint == fresh seed-0 init == const-run step0 (bit-exact, all tensors) -> untrained confirmed
step 0: loss=0.108581 tr_acc=0.0986 te_acc=0.0890 lr=1.00e-03
step 10: loss=0.070915 tr_acc=0.6556 te_acc=0.6310 lr=1.00e-03
step 30: loss=0.034812 tr_acc=0.8471 te_acc=0.8210 lr=1.00e-03
step 100: loss=0.014147 tr_acc=0.9391 te_acc=0.9175 lr=1.00e-03
[verify] first epoch used all 60,000 training indices exactly once (no replacement)
step 300: loss=0.006306 tr_acc=0.9727 te_acc=0.9595 lr=1.00e-03
step 600: loss=0.003836 tr_acc=0.9842 te_acc=0.9715 lr=9.99e-04
step 900: loss=0.002429 tr_acc=0.9897 te_acc=0.9695 lr=9.98e-04
step 1200: loss=0.001861 tr_acc=0.9921 te_acc=0.9700 lr=9.96e-04
step 1500: loss=0.001537 tr_acc=0.9935 te_acc=0.9730 lr=9.94e-04
step 1800: loss=0.001021 tr_acc=0.9958 te_acc=0.9755 lr=9.91e-04
step 2100: loss=0.001307 tr_acc=0.9946 te_acc=0.9750 lr=9.88e-04
step 2400: loss=0.000662 tr_acc=0.9977 te_acc=0.9750 lr=9.84e-04
step 2700: loss=0.000665 tr_acc=0.9976 te_acc=0.9755 lr=9.80e-04
step 3000: loss=0.000540 tr_acc=0.9980 te_acc=0.9775 lr=9.76e-04
step 3300: loss=0.000608 tr_acc=0.9977 te_acc=0.9765 lr=9.70e-04
step 3600: loss=0.000616 tr_acc=0.9977 te_acc=0.9775 lr=9.65e-04
step 3900: loss=0.000513 tr_acc=0.9983 te_acc=0.9740 lr=9.59e-04
step 4200: loss=0.000293 tr_acc=0.9991 te_acc=0.9760 lr=9.52e-04
step 4500: loss=0.000319 tr_acc=0.9988 te_acc=0.9785 lr=9.46e-04
step 4800: loss=0.000218 tr_acc=0.9994 te_acc=0.9740 lr=9.38e-04
step 5100: loss=0.000631 tr_acc=0.9971 te_acc=0.9715 lr=9.30e-04
step 5400: loss=0.000624 tr_acc=0.9973 te_acc=0.9755 lr=9.22e-04
step 5700: loss=0.000375 tr_acc=0.9987 te_acc=0.9765 lr=9.14e-04
step 6000: loss=0.000183 tr_acc=0.9994 te_acc=0.9785 lr=9.05e-04
