step 0: loss=2.30052 tr_acc=0.096 te_acc=0.089 te_conf=0.082
step 10: loss=1.89625 tr_acc=0.513 te_acc=0.457 te_conf=0.598
step 30: loss=0.55124 tr_acc=0.826 te_acc=0.731 te_conf=4.738
step 100: loss=0.09452 tr_acc=0.971 te_acc=0.836 te_conf=8.475
step 300: loss=0.00269 tr_acc=1.000 te_acc=0.856 te_conf=12.814
step 500: loss=0.00086 tr_acc=1.000 te_acc=0.858 te_conf=14.406
step 1000: loss=0.00021 tr_acc=1.000 te_acc=0.859 te_conf=16.313
step 1500: loss=0.00009 tr_acc=1.000 te_acc=0.858 te_conf=17.361
step 2000: loss=0.00005 tr_acc=1.000 te_acc=0.857 te_conf=18.074
step 2500: loss=0.00003 tr_acc=1.000 te_acc=0.857 te_conf=18.621
step 3000: loss=0.00002 tr_acc=1.000 te_acc=0.856 te_conf=19.064
step 3500: loss=0.00001 tr_acc=1.000 te_acc=0.855 te_conf=19.451
step 4000: loss=0.00001 tr_acc=1.000 te_acc=0.856 te_conf=19.816
step 4500: loss=0.00001 tr_acc=1.000 te_acc=0.857 te_conf=20.084
step 5000: loss=0.00001 tr_acc=1.000 te_acc=0.857 te_conf=20.274
step 5500: loss=0.00001 tr_acc=1.000 te_acc=0.856 te_conf=20.491
step 6000: loss=0.00000 tr_acc=1.000 te_acc=0.856 te_conf=20.730
step 6500: loss=0.00000 tr_acc=1.000 te_acc=0.857 te_conf=20.994
step 7000: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=21.280
step 7500: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=21.566
step 8000: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=21.869
step 8500: loss=0.00000 tr_acc=1.000 te_acc=0.857 te_conf=22.159
step 9000: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=22.465
step 9500: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=22.762
step 10000: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=23.060
step 10500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.364
step 11000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.661
step 11500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 12000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 12500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 13000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 13500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 14000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 14500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 15000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 15500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 16000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 16500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 17000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 17500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 18000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 18500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 19000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.709
step 19500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.710
step 20000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.710
step 20500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.711
step 21000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.711
step 21500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.712
step 22000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.713
step 22500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.715
step 23000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.716
step 23500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.718
step 24000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.720
step 24500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.722
step 25000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.724
step 25500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.726
step 26000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.728
step 26500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.730
step 27000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.732
step 27500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.734
step 28000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.736
step 28500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.738
step 29000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.740
step 29500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.742
step 30000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.744
step 30500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.746
step 31000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.749
step 31500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.751
step 32000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.753
step 32500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.755
step 33000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.757
step 33500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.759
step 34000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.761
step 34500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.763
step 35000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.765
step 35500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.767
step 36000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.769
step 36500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.771
step 37000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.773
step 37500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.775
step 38000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.777
step 38500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.779
step 39000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.781
step 39500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.783
step 40000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.785
step 40500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.787
step 41000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.789
step 41500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.791
step 42000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.793
step 42500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.795
step 43000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.797
step 43500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.798
step 44000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.800
step 44500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.802
step 45000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.804
step 45500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.806
step 46000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.808
step 46500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.810
step 47000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.812
step 47500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.814
step 48000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.815
step 48500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.817
step 49000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.819
step 49500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.821
step 50000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.823
step 50500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.825
step 51000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.827
step 51500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.829
step 52000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.830
step 52500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.832
step 53000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.834
step 53500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.836
step 54000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.838
step 54500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.840
step 55000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.842
step 55500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.844
step 56000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.846
step 56500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.848
step 57000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.849
step 57500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.851
step 58000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.853
step 58500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.855
step 59000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.857
step 59500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.859
step 60000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.861
step 60500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.863
step 61000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.865
step 61500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.867
step 62000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.869
step 62500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.871
step 63000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.873
step 63500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.875
step 64000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.877
step 64500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.879
step 65000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.880
step 65500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.882
step 66000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.884
step 66500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.886
step 67000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.888
step 67500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.890
step 68000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.892
step 68500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.894
step 69000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.896
step 69500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.898
step 70000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.900
step 70500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.902
step 71000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.904
step 71500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.906
step 72000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.908
step 72500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.910
step 73000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.912
step 73500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.914
step 74000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.916
step 74500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.918
step 75000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.920
step 75500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.922
step 76000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.924
step 76500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.926
step 77000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.928
step 77500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.930
step 78000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.932
step 78500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.934
step 79000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.936
step 79500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.937
step 80000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.939
step 80500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.941
step 81000: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.943
step 81500: loss=0.00000 tr_acc=1.000 te_acc=0.859 te_conf=23.945
step 82000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.947
step 82500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.948
step 83000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.950
step 83500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.952
step 84000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.954
step 84500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.956
step 85000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.957
step 85500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.959
step 86000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.961
step 86500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.963
step 87000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.965
step 87500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.966
step 88000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.968
step 88500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.970
step 89000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.972
step 89500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.974
step 90000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.975
step 90500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.977
step 91000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.979
step 91500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.981
step 92000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.983
step 92500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.985
step 93000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.987
step 93500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.988
step 94000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.990
step 94500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.992
step 95000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.994
step 95500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.996
step 96000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.997
step 96500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=23.999
step 97000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.001
step 97500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.003
step 98000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.005
step 98500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.007
step 99000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.009
step 99500: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.011
step 100000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=24.013
done: 205 checkpoints in 185s -> /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/plateau_records/seed_0_ce_sched
