step 0: loss=0.10233 tr_acc=0.100 te_acc=0.097 te_conf=0.109
step 2: loss=0.09152 tr_acc=0.165 te_acc=0.171 te_conf=0.106
step 5: loss=0.08282 tr_acc=0.526 te_acc=0.488 te_conf=0.107
step 10: loss=0.06495 tr_acc=0.722 te_acc=0.654 te_conf=0.119
step 20: loss=0.04032 tr_acc=0.866 te_acc=0.787 te_conf=0.154
step 30: loss=0.02890 tr_acc=0.909 te_acc=0.833 te_conf=0.172
step 50: loss=0.01617 tr_acc=0.952 te_acc=0.863 te_conf=0.189
step 100: loss=0.00471 tr_acc=0.996 te_acc=0.890 te_conf=0.196
step 200: loss=0.00051 tr_acc=1.000 te_acc=0.898 te_conf=0.203
step 300: loss=0.00014 tr_acc=1.000 te_acc=0.891 te_conf=0.202
step 500: loss=0.00003 tr_acc=1.000 te_acc=0.892 te_conf=0.202
step 1000: loss=0.00001 tr_acc=1.000 te_acc=0.895 te_conf=0.201
step 2000: loss=0.00001 tr_acc=1.000 te_acc=0.898 te_conf=0.202
step 3000: loss=0.00001 tr_acc=1.000 te_acc=0.897 te_conf=0.202
step 5000: loss=0.00002 tr_acc=1.000 te_acc=0.898 te_conf=0.204
step 7000: loss=0.00001 tr_acc=1.000 te_acc=0.897 te_conf=0.204
step 10000: loss=0.00000 tr_acc=1.000 te_acc=0.895 te_conf=0.209
step 15000: loss=0.00000 tr_acc=1.000 te_acc=0.889 te_conf=0.206
step 20000: loss=0.00000 tr_acc=1.000 te_acc=0.871 te_conf=0.209
step 30000: loss=0.00000 tr_acc=1.000 te_acc=0.876 te_conf=0.216
step 40000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.214
step 50000: loss=0.00000 tr_acc=1.000 te_acc=0.873 te_conf=0.218
step 60000: loss=0.00000 tr_acc=1.000 te_acc=0.872 te_conf=0.213
step 75000: loss=0.00000 tr_acc=1.000 te_acc=0.868 te_conf=0.217
step 90000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.217
step 100000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.212
saved 13 checkpoints to /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/ckpts/seed1
step 0: loss=0.10005 tr_acc=0.092 te_acc=0.109 te_conf=0.106
step 2: loss=0.08860 tr_acc=0.260 te_acc=0.237 te_conf=0.104
step 5: loss=0.08188 tr_acc=0.507 te_acc=0.483 te_conf=0.108
step 10: loss=0.06453 tr_acc=0.654 te_acc=0.594 te_conf=0.121
step 20: loss=0.04042 tr_acc=0.815 te_acc=0.732 te_conf=0.156
step 30: loss=0.02762 tr_acc=0.901 te_acc=0.834 te_conf=0.173
step 50: loss=0.01444 tr_acc=0.966 te_acc=0.862 te_conf=0.190
step 100: loss=0.00402 tr_acc=0.998 te_acc=0.877 te_conf=0.200
step 200: loss=0.00044 tr_acc=1.000 te_acc=0.888 te_conf=0.202
step 300: loss=0.00011 tr_acc=1.000 te_acc=0.885 te_conf=0.201
step 500: loss=0.00003 tr_acc=1.000 te_acc=0.885 te_conf=0.201
step 1000: loss=0.00001 tr_acc=1.000 te_acc=0.886 te_conf=0.201
step 2000: loss=0.00003 tr_acc=1.000 te_acc=0.884 te_conf=0.201
step 3000: loss=0.00000 tr_acc=1.000 te_acc=0.887 te_conf=0.202
step 5000: loss=0.00000 tr_acc=1.000 te_acc=0.890 te_conf=0.203
step 7000: loss=0.00000 tr_acc=1.000 te_acc=0.893 te_conf=0.203
step 10000: loss=0.00000 tr_acc=1.000 te_acc=0.889 te_conf=0.211
step 15000: loss=0.00000 tr_acc=1.000 te_acc=0.886 te_conf=0.203
step 20000: loss=0.00000 tr_acc=1.000 te_acc=0.882 te_conf=0.211
step 30000: loss=0.00000 tr_acc=1.000 te_acc=0.873 te_conf=0.216
step 40000: loss=0.00000 tr_acc=1.000 te_acc=0.865 te_conf=0.217
step 50000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.218
step 60000: loss=0.00000 tr_acc=1.000 te_acc=0.839 te_conf=0.217
step 75000: loss=0.00000 tr_acc=1.000 te_acc=0.852 te_conf=0.214
step 90000: loss=0.00000 tr_acc=1.000 te_acc=0.868 te_conf=0.218
step 100000: loss=0.00000 tr_acc=1.000 te_acc=0.858 te_conf=0.215
saved 13 checkpoints to /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/ckpts/seed2
