pair_id,interp_block,record_point,t,d
0,0,logits,0.0000,0.000000
0,0,resid_post_1,0.0000,0.000000
0,0,resid_post_2,0.0000,0.000000
0,0,resid_post_3,0.0000,0.000000
0,0,resid_post_4,0.0000,0.000000
0,0,resid_post_5,0.0000,0.000000
0,0,resid_post_6,0.0000,0.000000
0,0,resid_post_7,0.0000,0.000000
0,0,resid_post_8,0.0000,0.000001
0,0,resid_post_9,0.0000,0.000001
0,0,resid_post_10,0.0000,0.000001
0,0,resid_post_11,0.0000,0.000001
0,0,logits,0.0100,0.001792
0,0,resid_post_1,0.0100,0.009163
0,0,resid_post_2,0.0100,0.008403
0,0,resid_post_3,0.0100,0.008084
0,0,resid_post_4,0.0100,0.006859
0,0,resid_post_5,0.0100,0.005630
0,0,resid_post_6,0.0100,0.005027
0,0,resid_post_7,0.0100,0.004516
0,0,resid_post_8,0.0100,0.004370
0,0,resid_post_9,0.0100,0.004064
0,0,resid_post_10,0.0100,0.003807
0,0,resid_post_11,0.0100,0.003324
0,0,logits,0.0200,0.003631
0,0,resid_post_1,0.0200,0.018336
0,0,resid_post_2,0.0200,0.016884
0,0,resid_post_3,0.0200,0.016236
0,0,resid_post_4,0.0200,0.013770
0,0,resid_post_5,0.0200,0.011294
0,0,resid_post_6,0.0200,0.010087
0,0,resid_post_7,0.0200,0.009068
0,0,resid_post_8,0.0200,0.008777
0,0,resid_post_9,0.0200,0.008169
0,0,resid_post_10,0.0200,0.007654
0,0,resid_post_11,0.0200,0.006695
0,0,logits,0.0300,0.005516
0,0,resid_post_1,0.0300,0.027524
0,0,resid_post_2,0.0300,0.025444
0,0,resid_post_3,0.0300,0.024451
0,0,resid_post_4,0.0300,0.020731
0,0,resid_post_5,0.0300,0.016990
0,0,resid_post_6,0.0300,0.015178
0,0,resid_post_7,0.0300,0.013656
0,0,resid_post_8,0.0300,0.013223
0,0,resid_post_9,0.0300,0.012315
0,0,resid_post_10,0.0300,0.011541
0,0,resid_post_11,0.0300,0.010115
0,0,logits,0.0400,0.007449
0,0,resid_post_1,0.0400,0.036726
0,0,resid_post_2,0.0400,0.034082
0,0,resid_post_3,0.0400,0.032727
0,0,resid_post_4,0.0400,0.027736
0,0,resid_post_5,0.0400,0.022718
0,0,resid_post_6,0.0400,0.020301
0,0,resid_post_7,0.0400,0.018279
0,0,resid_post_8,0.0400,0.017706
0,0,resid_post_9,0.0400,0.016502
0,0,resid_post_10,0.0400,0.015468
0,0,resid_post_11,0.0400,0.013582
0,0,logits,0.0500,0.009429
0,0,resid_post_1,0.0500,0.045944
0,0,resid_post_2,0.0500,0.042799
0,0,resid_post_3,0.0500,0.041060
0,0,resid_post_4,0.0500,0.034784
0,0,resid_post_5,0.0500,0.028476
0,0,resid_post_6,0.0500,0.025453
0,0,resid_post_7,0.0500,0.022938
0,0,resid_post_8,0.0500,0.022227
0,0,resid_post_9,0.0500,0.020731
0,0,resid_post_10,0.0500,0.019435
0,0,resid_post_11,0.0500,0.017099
0,0,logits,0.0600,0.011458
0,0,resid_post_1,0.0600,0.055181
0,0,resid_post_2,0.0600,0.051593
0,0,resid_post_3,0.0600,0.049443
0,0,resid_post_4,0.0600,0.041870
0,0,resid_post_5,0.0600,0.034262
0,0,resid_post_6,0.0600,0.030636
0,0,resid_post_7,0.0600,0.027633
0,0,resid_post_8,0.0600,0.026786
0,0,resid_post_9,0.0600,0.025001
0,0,resid_post_10,0.0600,0.023444
0,0,resid_post_11,0.0600,0.020665
0,0,logits,0.0700,0.013537
0,0,resid_post_1,0.0700,0.064438
0,0,resid_post_2,0.0700,0.060462
0,0,resid_post_3,0.0700,0.057873
0,0,resid_post_4,0.0700,0.048990
0,0,resid_post_5,0.0700,0.040077
0,0,resid_post_6,0.0700,0.035848
0,0,resid_post_7,0.0700,0.032363
0,0,resid_post_8,0.0700,0.031384
0,0,resid_post_9,0.0700,0.029314
0,0,resid_post_10,0.0700,0.027494
0,0,resid_post_11,0.0700,0.024281
0,0,logits,0.0800,0.015667
0,0,resid_post_1,0.0800,0.073715
0,0,resid_post_2,0.0800,0.069405
0,0,resid_post_3,0.0800,0.066343
0,0,resid_post_4,0.0800,0.056142
0,0,resid_post_5,0.0800,0.045919
0,0,resid_post_6,0.0800,0.041091
0,0,resid_post_7,0.0800,0.037130
0,0,resid_post_8,0.0800,0.036022
0,0,resid_post_9,0.0800,0.033671
0,0,resid_post_10,0.0800,0.031586
