seed,model,layer,pair,class_a,class_b,rep,idx_a,idx_b,lin_dev,max_jump
0,clf,d_h2,0,0,1,0,10,2,0.199226,3.847764
0,clf,d_h2,1,0,1,1,183,94,0.236942,3.854328
0,clf,d_h2,2,0,2,0,13,1,0.05744,1.613016
0,clf,d_h2,3,0,2,1,188,172,0.162095,2.144072
0,clf,d_h2,4,0,3,0,25,18,0.291907,3.576394
0,clf,d_h2,5,0,3,1,192,142,0.210382,2.996937
0,clf,d_h2,6,0,4,0,28,4,0.132199,2.551043
0,clf,d_h2,7,0,4,1,194,85,0.12855,2.849502
0,clf,d_h2,8,0,5,0,55,8,0.165803,2.508415
0,clf,d_h2,9,0,5,1,215,152,0.156845,2.665276
0,clf,d_h2,10,0,6,0,69,11,0.128845,1.62336
0,clf,d_h2,11,0,6,1,246,130,0.177942,2.622199
0,clf,d_h2,12,0,7,0,71,0,0.266537,4.10479
0,clf,d_h2,13,0,7,1,269,83,0.081582,2.514909
0,clf,d_h2,14,0,8,0,101,61,0.146128,2.348957
0,clf,d_h2,15,0,8,1,271,233,0.24714,3.258543
0,clf,d_h2,16,0,9,0,126,7,0.070229,2.310636
0,clf,d_h2,17,0,9,1,294,105,0.16428,3.055078
0,clf,d_h2,18,1,2,0,14,35,0.100169,3.160668
0,clf,d_h2,19,1,2,1,107,174,0.040695,1.74103
0,clf,d_h2,20,1,3,0,29,30,0.112294,2.592699
0,clf,d_h2,21,1,3,1,135,158,0.175535,3.62684
0,clf,d_h2,22,1,4,0,31,6,0.088141,3.149554
0,clf,d_h2,23,1,4,1,137,95,0.065566,2.055862
0,clf,d_h2,24,1,5,0,37,15,0.157418,3.451357
0,clf,d_h2,25,1,5,1,143,153,0.172169,3.111649
0,clf,d_h2,26,1,6,0,39,21,0.108708,3.540234
0,clf,d_h2,27,1,6,1,145,131,0.080382,3.133203
0,clf,d_h2,28,1,7,0,40,17,0.128322,2.88129
0,clf,d_h2,29,1,7,1,154,86,0.10369,2.454604
0,clf,d_h2,30,1,8,0,46,84,0.080045,2.607881
0,clf,d_h2,31,1,8,1,168,242,0.055713,1.995517
0,clf,d_h2,32,1,9,0,57,9,0.066627,2.200571
0,clf,d_h2,33,1,9,1,176,108,0.090136,2.450639
0,clf,d_h2,34,2,3,0,43,32,0.067562,1.747185
0,clf,d_h2,35,2,3,1,199,173,0.125398,2.409208
0,clf,d_h2,36,2,4,0,47,19,0.143934,2.020007
0,clf,d_h2,37,2,4,1,208,103,0.067566,1.627923
0,clf,d_h2,38,2,5,0,72,23,0.095437,3.65
0,clf,d_h2,39,2,5,1,221,155,0.09686,3.344501
0,clf,d_h2,40,2,6,0,77,22,0.052657,1.689166
0,clf,d_h2,41,2,6,1,222,138,0.039614,1.675955
0,clf,d_h2,42,2,7,0,82,26,0.243064,2.566193
0,clf,d_h2,43,2,7,1,225,97,0.097481,2.870496
0,clf,d_h2,44,2,8,0,106,110,0.080428,1.681239
0,clf,d_h2,45,2,8,1,236,257,0.239621,2.674331
0,clf,d_h2,46,2,9,0,119,12,0.195651,3.721334
0,clf,d_h2,47,2,9,1,237,113,0.216135,2.381666
0,clf,d_h2,48,3,4,0,51,24,0.169186,2.942793
0,clf,d_h2,49,3,4,1,200,109,0.145747,4.000134
0,clf,d_h2,50,3,5,0,63,45,0.117375,2.230958
0,clf,d_h2,51,3,5,1,205,162,0.041025,1.429945
0,clf,d_h2,52,3,6,0,68,50,0.133036,2.251915
0,clf,d_h2,53,3,6,1,213,140,0.100621,2.442074
0,clf,d_h2,54,3,7,0,76,34,0.103575,2.42824
0,clf,d_h2,55,3,7,1,216,111,0.166491,2.15625
0,clf,d_h2,56,3,8,0,87,128,0.097236,2.35862
0,clf,d_h2,57,3,8,1,230,260,0.099009,2.572647
0,clf,d_h2,58,3,9,0,90,16,0.156783,2.312456
0,clf,d_h2,59,3,9,1,231,118,0.206212,2.842451
0,clf,d_h2,60,4,5,0,33,52,0.142662,2.870748
0,clf,d_h2,61,4,5,1,116,165,0.065612,1.767793
0,clf,d_h2,62,4,6,0,42,54,0.04226,1.93029
0,clf,d_h2,63,4,6,1,117,156,0.055394,1.714137
0,clf,d_h2,64,4,7,0,48,36,0.188739,3.205368
0,clf,d_h2,65,4,7,1,121,114,0.083981,2.020815
0,clf,d_h2,66,4,8,0,49,134,0.165151,2.391584
0,clf,d_h2,67,4,8,1,139,266,0.206405,3.564734
0,clf,d_h2,68,4,9,0,56,20,0.184115,2.022161
0,clf,d_h2,69,4,9,1,159,125,0.053351,1.331216
0,clf,d_h2,70,5,6,0,59,66,0.029326,1.433712
0,clf,d_h2,71,5,6,1,182,161,0.03738,1.520967
0,clf,d_h2,72,5,7,0,102,41,0.127032,2.53665
0,clf,d_h2,73,5,7,1,187,122,0.139048,2.547183
0,clf,d_h2,74,5,8,0,120,146,0.069676,1.903581
0,clf,d_h2,75,5,8,1,207,268,0.087829,1.583147
0,clf,d_h2,76,5,9,0,127,58,0.165662,2.282948
0,clf,d_h2,77,5,9,1,211,150,0.084797,1.90463
0,clf,d_h2,78,6,7,0,88,60,0.165034,3.087474
0,clf,d_h2,79,6,7,1,197,124,0.201152,2.451992
0,clf,d_h2,80,6,8,0,91,177,0.103973,1.773933
0,clf,d_h2,81,6,8,1,201,277,0.203462,2.27056
0,clf,d_h2,82,6,9,0,98,62,0.093172,1.605052
0,clf,d_h2,83,6,9,1,217,151,0.131888,2.406857
0,clf,d_h2,84,7,8,0,70,179,0.20621,4.555732
0,clf,d_h2,85,7,8,1,141,290,0.246128,4.708446
0,clf,d_h2,86,7,9,0,75,73,0.021485,1.425207
0,clf,d_h2,87,7,9,1,144,185,0.108082,1.637694
0,clf,d_h2,88,8,9,0,184,78,0.06702,2.073953
0,clf,d_h2,89,8,9,1,338,193,0.197752,3.008254
0,clf,d_h3,0,0,1,0,10,2,0.246257,4.150613
0,clf,d_h3,1,0,1,1,183,94,0.317957,4.891752
0,clf,d_h3,2,0,2,0,13,1,0.078084,1.987123
0,clf,d_h3,3,0,2,1,188,172,0.135548,1.716691
0,clf,d_h3,4,0,3,0,25,18,0.345686,3.801405
0,clf,d_h3,5,0,3,1,192,142,0.212253,2.608059
0,clf,d_h3,6,0,4,0,28,4,0.23157,2.897537
0,clf,d_h3,7,0,4,1,194,85,0.218809,3.604033
0,clf,d_h3,8,0,5,0,55,8,0.324507,3.891492
0,clf,d_h3,9,0,5,1,215,152,0.265023,3.184429
0,clf,d_h3,10,0,6,0,69,11,0.216563,2.926117
0,clf,d_h3,11,0,6,1,246,130,0.266204,2.890152
0,clf,d_h3,12,0,7,0,71,0,0.273262,3.752874
0,clf,d_h3,13,0,7,1,269,83,0.092054,2.762267
0,clf,d_h3,14,0,8,0,101,61,0.231859,3.684425
0,clf,d_h3,15,0,8,1,271,233,0.340542,3.701777
0,clf,d_h3,16,0,9,0,126,7,0.122608,3.598863
0,clf,d_h3,17,0,9,1,294,105,0.14979,2.625149
0,clf,d_h3,18,1,2,0,14,35,0.125122,2.882583
0,clf,d_h3,19,1,2,1,107,174,0.070746,1.626831
0,clf,d_h3,20,1,3,0,29,30,0.149984,3.445429
0,clf,d_h3,21,1,3,1,135,158,0.304966,4.372762
0,clf,d_h3,22,1,4,0,31,6,0.162618,3.690635
0,clf,d_h3,23,1,4,1,137,95,0.100351,2.646297
0,clf,d_h3,24,1,5,0,37,15,0.259983,4.067373
0,clf,d_h3,25,1,5,1,143,153,0.261085,3.771314
0,clf,d_h3,26,1,6,0,39,21,0.173356,5.054505
0,clf,d_h3,27,1,6,1,145,131,0.187863,5.301323
0,clf,d_h3,28,1,7,0,40,17,0.24709,4.626498
0,clf,d_h3,29,1,7,1,154,86,0.118746,2.459781
0,clf,d_h3,30,1,8,0,46,84,0.070571,2.242723
0,clf,d_h3,31,1,8,1,168,242,0.153737,3.234574
0,clf,d_h3,32,1,9,0,57,9,0.090194,2.803519
0,clf,d_h3,33,1,9,1,176,108,0.163361,2.981576
0,clf,d_h3,34,2,3,0,43,32,0.166317,2.112612
0,clf,d_h3,35,2,3,1,199,173,0.314662,4.453819
0,clf,d_h3,36,2,4,0,47,19,0.280073,2.607048
0,clf,d_h3,37,2,4,1,208,103,0.234396,2.3016
0,clf,d_h3,38,2,5,0,72,23,0.260718,6.334149
0,clf,d_h3,39,2,5,1,221,155,0.237866,6.479902
0,clf,d_h3,40,2,6,0,77,22,0.15101,2.273306
0,clf,d_h3,41,2,6,1,222,138,0.11504,2.239844
0,clf,d_h3,42,2,7,0,82,26,0.277403,2.454176
0,clf,d_h3,43,2,7,1,225,97,0.266517,4.707845
0,clf,d_h3,44,2,8,0,106,110,0.176846,1.804808
0,clf,d_h3,45,2,8,1,236,257,0.31613,3.213576
0,clf,d_h3,46,2,9,0,119,12,0.196353,5.113674
0,clf,d_h3,47,2,9,1,237,113,0.245461,2.377714
0,clf,d_h3,48,3,4,0,51,24,0.209646,3.284177
0,clf,d_h3,49,3,4,1,200,109,0.200709,4.683596
0,clf,d_h3,50,3,5,0,63,45,0.191058,2.180566
0,clf,d_h3,51,3,5,1,205,162,0.026333,1.88593
0,clf,d_h3,52,3,6,0,68,50,0.116325,2.169383
0,clf,d_h3,53,3,6,1,213,140,0.105856,2.348032
0,clf,d_h3,54,3,7,0,76,34,0.093528,3.054291
0,clf,d_h3,55,3,7,1,216,111,0.126596,1.679227
0,clf,d_h3,56,3,8,0,87,128,0.161983,3.199388
0,clf,d_h3,57,3,8,1,230,260,0.140668,3.030038
0,clf,d_h3,58,3,9,0,90,16,0.165659,2.582798
0,clf,d_h3,59,3,9,1,231,118,0.180224,2.625156
0,clf,d_h3,60,4,5,0,33,52,0.146083,3.168213
0,clf,d_h3,61,4,5,1,116,165,0.083928,2.29682
0,clf,d_h3,62,4,6,0,42,54,0.03492,1.612628
0,clf,d_h3,63,4,6,1,117,156,0.036839,1.555136
0,clf,d_h3,64,4,7,0,48,36,0.149292,2.86938
0,clf,d_h3,65,4,7,1,121,114,0.066233,1.985645
0,clf,d_h3,66,4,8,0,49,134,0.170237,2.35776
0,clf,d_h3,67,4,8,1,139,266,0.246551,3.634575
0,clf,d_h3,68,4,9,0,56,20,0.14132,1.748168
0,clf,d_h3,69,4,9,1,159,125,0.045961,1.703173
0,clf,d_h3,70,5,6,0,59,66,0.025982,2.192843
0,clf,d_h3,71,5,6,1,182,161,0.0504,1.93218
0,clf,d_h3,72,5,7,0,102,41,0.161227,2.54778
0,clf,d_h3,73,5,7,1,187,122,0.144729,2.487499
0,clf,d_h3,74,5,8,0,120,146,0.05374,2.21987
0,clf,d_h3,75,5,8,1,207,268,0.110685,1.767701
0,clf,d_h3,76,5,9,0,127,58,0.149736,2.054864
0,clf,d_h3,77,5,9,1,211,150,0.068508,1.920885
0,clf,d_h3,78,6,7,0,88,60,0.18936,2.955782
0,clf,d_h3,79,6,7,1,197,124,0.25393,2.513176
0,clf,d_h3,80,6,8,0,91,177,0.132472,1.755279
0,clf,d_h3,81,6,8,1,201,277,0.258674,2.450219
0,clf,d_h3,82,6,9,0,98,62,0.094892,1.71991
0,clf,d_h3,83,6,9,1,217,151,0.25992,4.281908
0,clf,d_h3,84,7,8,0,70,179,0.358366,8.097712
0,clf,d_h3,85,7,8,1,141,290,0.292205,7.207854
0,clf,d_h3,86,7,9,0,75,73,0.025345,1.608443
0,clf,d_h3,87,7,9,1,144,185,0.131833,2.038793
0,clf,d_h3,88,8,9,0,184,78,0.073096,2.25354
0,clf,d_h3,89,8,9,1,338,193,0.184659,3.042636
0,clf,d_out,0,0,1,0,10,2,0.166712,9.749339
0,clf,d_out,1,0,1,1,183,94,0.147672,10.695592
0,clf,d_out,2,0,2,0,13,1,0.202866,6.277752
0,clf,d_out,3,0,2,1,188,172,0.185215,6.631515
0,clf,d_out,4,0,3,0,25,18,0.231994,14.192515
0,clf,d_out,5,0,3,1,192,142,0.192509,6.350544
0,clf,d_out,6,0,4,0,28,4,0.189801,15.920487
0,clf,d_out,7,0,4,1,194,85,0.191494,8.050753
0,clf,d_out,8,0,5,0,55,8,0.254483,10.403172
0,clf,d_out,9,0,5,1,215,152,0.198251,9.718961
0,clf,d_out,10,0,6,0,69,11,0.189257,6.835264
0,clf,d_out,11,0,6,1,246,130,0.208429,7.645583
