t,immediate_p_newline,d_Capital,d_Continent,d_Currency,d_Language,d_Type,p_A_Capital,p_A_Continent,p_A_Currency,p_A_Language,p_A_Type,p_B_Capital,p_B_Continent,p_B_Currency,p_B_Language,p_B_Type
0.00,0.9289999,0.0,0.0,0.0,0.0,0.0,0.9251987,0.7427309,0.58418816,0.94947094,0.72647256,5.0547114e-06,0.018466352,0.0008104053,0.0001379755,0.72647256
0.01,0.9290757,0.0013100062521095202,0.0016556026888201833,0.0014753784146465075,0.0013206788412477679,0.0017672764982866165,0.925256,0.7422891,0.58426595,0.949532,0.7262232,5.066477e-06,0.018475777,0.0008077554,0.00013828499,0.7262232
0.02,0.9291495,0.0026438526750470403,0.0033734296290600543,0.0029832577944700466,0.0026580173003900205,0.0035574939682242773,0.9253127,0.74187046,0.58438116,0.9495971,0.72598505,5.077681e-06,0.018480347,0.0008049975,0.00013858148,0.72598505
0.03,0.929223,0.004004804952504941,0.0051608339270479,0.004528652550789796,0.004014724749797507,0.005374696881378414,0.9253685,0.74147063,0.584535,0.9496639,0.7257835,5.0883273e-06,0.01848149,0.0008021279,0.00013887278,0.7257835
0.04,0.9292993,0.005397644593992503,0.007022014258489452,0.006116580091636427,0.005395023553888745,0.007223678598953963,0.92542434,0.7410997,0.5847445,0.9497321,0.7256069,5.0986123e-06,0.018478746,0.00079912745,0.00013915959,0.7256069
0.05,0.92937535,0.006826295225660633,0.008963921469771404,0.007754890495464111,0.006803148452984925,0.009109159628466644,0.92548275,0.740745,0.5850044,0.9498031,0.7254664,5.10822e-06,0.018471926,0.0007959982,0.000139441,0.7254664
0.06,0.92945236,0.008295199814584804,0.01098980504758239,0.009449077570465519,0.008243262986890017,0.011034869022871182,0.9255409,0.7404152,0.5853187,0.9498777,0.7253618,5.1175625e-06,0.018461818,0.0007927333,0.00013972419,0.7253618
0.07,0.9295316,0.009809755300150484,0.013107683506240992,0.011205906853654723,0.00971992019050733,0.013007140802626854,0.92559934,0.7401103,0.5857075,0.9499547,0.7252971,5.1266393e-06,0.018448532,0.0007892891,0.00014000857,0.7252971
0.08,0.9296146,0.011376178788939822,0.015321806348978048,0.01303447065742572,0.011239107269553295,0.015028991259981478,0.9256607,0.73982435,0.5861643,0.95003474,0.72528094,5.1353077e-06,0.018432524,0.0007856996,0.00014029826,0.72528094
0.09,0.92969984,0.012999879299612464,0.01763831092939333,0.014941266736637399,0.012807024419902717,0.017107627584267128,0.92572135,0.7395579,0.58670545,0.9501176,0.72531056,5.1440898e-06,0.018414978,0.0007819222,0.00014060344,0.72531056
