t,top1_Capital,p_top1_Capital,top1_Continent,p_top1_Continent,top1_Currency,p_top1_Currency,top1_Language,p_top1_Language,top1_Type,p_top1_Type
0.00,' Tokyo',0.9252,' Asia',0.7427,' yen',0.5842,' Japanese',0.9495,' country',0.7265
0.01,' Tokyo',0.9253,' Asia',0.7423,' yen',0.5843,' Japanese',0.9495,' country',0.7262
0.02,' Tokyo',0.9253,' Asia',0.7419,' yen',0.5844,' Japanese',0.9496,' country',0.7260
0.03,' Tokyo',0.9254,' Asia',0.7415,' yen',0.5845,' Japanese',0.9497,' country',0.7258
0.04,' Tokyo',0.9254,' Asia',0.7411,' yen',0.5847,' Japanese',0.9497,' country',0.7256
0.05,' Tokyo',0.9255,' Asia',0.7407,' yen',0.5850,' Japanese',0.9498,' country',0.7255
0.06,' Tokyo',0.9255,' Asia',0.7404,' yen',0.5853,' Japanese',0.9499,' country',0.7254
0.07,' Tokyo',0.9256,' Asia',0.7401,' yen',0.5857,' Japanese',0.9500,' country',0.7253
0.08,' Tokyo',0.9257,' Asia',0.7398,' yen',0.5862,' Japanese',0.9500,' country',0.7253
0.09,' Tokyo',0.9257,' Asia',0.7396,' yen',0.5867,' Japanese',0.9501,' country',0.7253
0.10,' Tokyo',0.9258,' Asia',0.7393,' yen',0.5873,' Japanese',0.9502,' country',0.7254
0.11,' Tokyo',0.9259,' Asia',0.7391,' yen',0.5881,' Japanese',0.9503,' country',0.7255
0.12,' Tokyo',0.9259,' Asia',0.7389,' yen',0.5889,' Japanese',0.9504,' country',0.7258
0.13,' Tokyo',0.9260,' Asia',0.7387,' yen',0.5899,' Japanese',0.9505,' country',0.7260
0.14,' Tokyo',0.9261,' Asia',0.7385,' yen',0.5910,' Japanese',0.9506,' country',0.7264
0.15,' Tokyo',0.9261,' Asia',0.7383,' yen',0.5922,' Japanese',0.9507,' country',0.7269
0.16,' Tokyo',0.9262,' Asia',0.7381,' yen',0.5936,' Japanese',0.9508,' country',0.7274
0.17,' Tokyo',0.9263,' Asia',0.7379,' yen',0.5952,' Japanese',0.9509,' country',0.7281
0.18,' Tokyo',0.9264,' Asia',0.7377,' yen',0.5970,' Japanese',0.9510,' country',0.7289
0.19,' Tokyo',0.9264,' Asia',0.7375,' yen',0.5991,' Japanese',0.9511,' country',0.7298
0.20,' Tokyo',0.9265,' Asia',0.7372,' yen',0.6013,' Japanese',0.9512,' country',0.7309
0.21,' Tokyo',0.9265,' Asia',0.7369,' yen',0.6038,' Japanese',0.9513,' country',0.7321
0.22,' Tokyo',0.9266,' Asia',0.7365,' yen',0.6067,' Japanese',0.9514,' country',0.7334
0.23,' Tokyo',0.9266,' Asia',0.7360,' yen',0.6098,' Japanese',0.9515,' country',0.7350
0.24,' Tokyo',0.9266,' Asia',0.7353,' yen',0.6133,' Japanese',0.9516,' country',0.7368
0.25,' Tokyo',0.9265,' Asia',0.7346,' yen',0.6172,' Japanese',0.9516,' country',0.7388
0.26,' Tokyo',0.9264,' Asia',0.7336,' yen',0.6216,' Japanese',0.9517,' country',0.7410
0.27,' Tokyo',0.9262,' Asia',0.7324,' yen',0.6264,' Japanese',0.9517,' country',0.7436
0.28,' Tokyo',0.9259,' Asia',0.7309,' yen',0.6317,' Japanese',0.9516,' country',0.7464
0.29,' Tokyo',0.9254,' Asia',0.7290,' yen',0.6376,' Japanese',0.9515,' country',0.7495
0.30,' Tokyo',0.9248,' Asia',0.7267,' yen',0.6440,' Japanese',0.9514,' country',0.7531
0.31,' Tokyo',0.9239,' Asia',0.7238,' yen',0.6511,' Japanese',0.9512,' country',0.7570
0.32,' Tokyo',0.9227,' Asia',0.7202,' yen',0.6588,' Japanese',0.9508,' country',0.7614
0.33,' Tokyo',0.9211,' Asia',0.7157,' yen',0.6672,' Japanese',0.9504,' country',0.7662
0.34,' Tokyo',0.9191,' Asia',0.7101,' yen',0.6761,' Japanese',0.9497,' country',0.7716
0.35,' Tokyo',0.9164,' Asia',0.7030,' yen',0.6857,' Japanese',0.9489,' country',0.7776
0.36,' Tokyo',0.9129,' Asia',0.6941,' yen',0.6957,' Japanese',0.9477,' country',0.7843
0.37,' Tokyo',0.9085,' Asia',0.6826,' yen',0.7061,' Japanese',0.9461,' country',0.7916
0.38,' Tokyo',0.9028,' Asia',0.6674,' yen',0.7164,' Japanese',0.9439,' country',0.7997
0.39,' Tokyo',0.8957,' Asia',0.6470,' yen',0.7255,' Japanese',0.9405,' country',0.8085
0.40,' Tokyo',0.8871,' Asia',0.6184,' yen',0.7311,' Japanese',0.9346,' country',0.8180
0.41,' Tokyo',0.8775,' Asia',0.5772,' yen',0.7279,' Japanese',0.9230,' country',0.8279
0.42,' Tokyo',0.8673,' Asia',0.5162,' yen',0.7078,' Japanese',0.8964,' country',0.8378
0.43,' Tokyo',0.8529,' Asia',0.4287,' yen',0.6587,' Japanese',0.8267,' country',0.8467
0.44,' Tokyo',0.8177,' Europe',0.5138,' yen',0.5616,' Japanese',0.6457,' country',0.8528
0.45,' Tokyo',0.6834,' Europe',0.6565,' yen',0.4016,' German',0.5027,' country',0.8539
0.46,' Berlin',0.3291,' Europe',0.7605,' yen',0.2229,' German',0.7771,' country',0.8492
0.47,' Berlin',0.5546,' Europe',0.8190,' euro',0.2940,' German',0.8927,' country',0.8405
0.48,' Berlin',0.6270,' Europe',0.8468,' euro',0.3562,' German',0.9305,' country',0.8304
0.49,' Berlin',0.6574,' Europe',0.8589,' euro',0.3898,' German',0.9430,' country',0.8208
0.50,' Berlin',0.6770,' Europe',0.8636,' euro',0.4038,' German',0.9463,' country',0.8126
0.51,' Berlin',0.6918,' Europe',0.8651,' euro',0.4073,' German',0.9460,' country',0.8060
