token_id,token,D,W_mid,W_final,t10_mid,t90_mid,t10_final,t90_final,flag_nonmonotonic
0,'!',1.8539,0.1347,0.0681,0.3935,0.5281,0.4708,0.5388,0
1,"'""'",1.8550,0.1337,0.0562,0.3361,0.4698,0.3801,0.4364,1
2,'#',2.3393,0.1485,0.0522,0.3904,0.5389,0.4257,0.4778,0
3,'$',2.3604,0.1863,0.0667,0.3600,0.5463,0.4166,0.4832,1
4,'%',2.0898,0.1784,0.0971,0.4008,0.5792,0.4379,0.5350,0
5,'&',2.2626,0.1099,0.0619,0.4298,0.5397,0.4644,0.5262,0
6,"""'""",1.9850,0.1414,0.0569,0.3545,0.4959,0.3903,0.4473,1
7,'(',2.0264,0.1261,0.0683,0.3487,0.4748,0.3838,0.4521,0
8,')',1.8267,0.1313,0.0483,0.3535,0.4848,0.4300,0.4783,0
9,'*',2.1826,0.1343,0.0700,0.3980,0.5323,0.4398,0.5098,1
10,'+',2.2357,0.1547,0.0663,0.3787,0.5334,0.4128,0.4791,1
11,"','",1.6622,0.1492,0.0874,0.3112,0.4603,0.3713,0.4587,1
12,'-',1.7647,0.0953,0.0544,0.3244,0.4197,0.3651,0.4195,0
13,'.',1.6687,0.1277,0.0870,0.3118,0.4395,0.3972,0.4842,0
14,'/',1.9112,0.1082,0.0649,0.3411,0.4493,0.3789,0.4437,0
15,'0',2.1710,0.1768,0.0711,0.3601,0.5369,0.3986,0.4698,0
16,'1',2.0423,0.2098,0.0678,0.3366,0.5463,0.3881,0.4559,1
17,'2',2.0135,0.2156,0.0645,0.3369,0.5524,0.3934,0.4579,0
18,'3',2.0237,0.2035,0.0663,0.3458,0.5492,0.4002,0.4665,0
19,'4',2.0258,0.1920,0.0660,0.3386,0.5306,0.3993,0.4652,1
20,'5',2.0574,0.2112,0.0761,0.3368,0.5480,0.3872,0.4633,0
21,'6',2.0891,0.1791,0.0678,0.3249,0.5040,0.3903,0.4581,1
22,'7',2.0821,0.2016,0.0742,0.3466,0.5482,0.4010,0.4751,0
23,'8',2.1120,0.1996,0.0726,0.3415,0.5411,0.3939,0.4665,1
24,'9',2.1374,0.1914,0.0677,0.3454,0.5369,0.3900,0.4578,1
25,':',1.7979,0.1194,0.0476,0.3096,0.4290,0.3843,0.4319,0
26,';',1.8163,0.1441,0.0672,0.3528,0.4969,0.4120,0.4792,1
27,'<',2.3664,0.1336,0.0673,0.3855,0.5192,0.4224,0.4898,0
28,'=',2.2050,0.1706,0.0723,0.3597,0.5303,0.3872,0.4595,0
29,'>',2.2541,0.1296,0.0659,0.3791,0.5087,0.4152,0.4811,0
30,'?',1.8158,0.0979,0.0562,0.3918,0.4897,0.4397,0.4960,0
31,'@',2.3682,0.1460,0.0638,0.3547,0.5008,0.3950,0.4588,0
32,'A',2.0168,0.2418,0.0411,0.3450,0.5868,0.3956,0.4367,1
33,'B',2.0482,0.1250,0.0515,0.3635,0.4885,0.4173,0.4688,1
34,'C',2.0645,0.1451,0.0498,0.3584,0.5035,0.4195,0.4692,1
35,'D',2.0556,0.1379,0.0381,0.3580,0.4959,0.4097,0.4478,1
