token_id,token,D,W_mid,W_final,flag_nonmonotonic
19628,'fty',2.8406,0.4849,0.6498,0
30202,' guiName',3.0233,0.4014,0.6414,0
41551,'Downloadha',2.8103,0.3928,0.6228,0
27833,' whopping',1.9185,0.556,0.6217,0
48068,' HUGE',1.877,0.6265,0.6144,0
13945,'��',2.9039,0.365,0.5878,0
6175,' giant',1.5968,0.5278,0.5857,0
39803,'soType',2.8912,0.4294,0.5847,0
11091,' considerable',1.9193,0.5217,0.5741,0
37226,'SourceFile',2.9711,0.4284,0.5721,0
12465,' tremendous',1.8123,0.5857,0.5712,0
31765,'MpServer',2.8939,0.4377,0.5666,0
30213,' externalToEVAOnly',3.0365,0.4494,0.5633,0
3236,' huge',1.2234,0.6083,0.5627,0
30210,' guiActiveUnfocused',3.1683,0.3479,0.5606,0
37579,'TPPStreamerBot',3.0662,0.3374,0.5594,0
34394,'hemoth',2.4406,0.5095,0.5564,0
41251,'UGE',2.7819,0.481,0.5491,0
40931,' oversized',2.0217,0.5636,0.5421,0
38879,' towering',2.0583,0.5006,0.5405,0
36364,' monumental',1.8724,0.5252,0.5308,0
42090,' TheNitromeFan',2.3297,0.3906,0.5265,0
34261,'thora',2.8852,0.4594,0.5244,0
8904,' substantial',1.8259,0.5276,0.5104,0
47198,'ItemTracker',2.9463,0.4478,0.5094,0
23933,' ample',2.1152,0.4474,0.5084,0
2217,'uge',2.639,0.3935,0.5054,0
47225,' sizeable',1.8589,0.5888,0.5051,0
30906,'rawdownloadcloneembedreportprint',2.861,0.4247,0.5046,0
34282,' sizable',1.8158,0.6013,0.4985,0
8885,' enorm',2.2826,0.5093,0.4905,0
30406,'auld',2.8898,0.1793,0.4845,0
11974,' Tradable',2.798,0.3252,0.4829,0
30190,' sprawling',2.0802,0.4585,0.4817,0
29784,' hefty',1.7611,0.5282,0.4816,0
9790,'idespread',2.4616,0.453,0.4811,0
40894,' spacious',2.1866,0.5196,0.481,0
24804,' gigantic',1.6366,0.6043,0.4804,0
5909,' vast',1.8314,0.511,0.4782,0
41413,' abound',2.3403,0.4595,0.4768,0
43875,' nutshell',2.5082,0.4168,0.4764,0
43361,'ゼウス',3.0262,0.454,0.4745,0
31032,'SpaceEngineers',2.8456,0.3956,0.4743,0
23321,'idable',2.8863,0.4623,0.4733,0
9812,' enormous',1.661,0.6084,0.471,0
29100,' monstrous',1.9512,0.4908,0.4701,0
36426,' manageable',2.3623,0.4737,0.4695,0
41321,'stantial',2.4587,0.4281,0.4687,0
18095,'uxe',2.7385,0.4422,0.4686,0
45383,' innumerable',2.242,0.4374,0.4682,0
37842,' partName',2.7548,0.3637,0.4679,0
43209,' solvent',2.5174,0.3347,0.4676,0
1588,' large',1.3549,0.5034,0.4659,0
