layer,family,baseline,auroc
3,iso_gauss,norm,0.9955
3,iso_gauss,mean_l2,0.9955
3,iso_gauss,mahalanobis,1.0
3,iso_gauss,pca_recon,1.0
3,iso_gauss,coord_quantile,1.0
3,iso_gauss,knn_distance,1.0
3,cov_gauss,norm,0.9169
3,cov_gauss,mean_l2,0.9434
3,cov_gauss,mahalanobis,0.506
3,cov_gauss,pca_recon,0.5969
3,cov_gauss,coord_quantile,0.5038
3,cov_gauss,knn_distance,0.9721
3,shuffle_coord,norm,0.5
3,shuffle_coord,mean_l2,0.9955
3,shuffle_coord,mahalanobis,1.0
3,shuffle_coord,pca_recon,1.0
3,shuffle_coord,coord_quantile,0.764
3,shuffle_coord,knn_distance,0.9999
3,norm_pert,norm,0.5
3,norm_pert,mean_l2,0.6725
3,norm_pert,mahalanobis,0.8996
3,norm_pert,pca_recon,0.7419
3,norm_pert,coord_quantile,0.7019
3,norm_pert,knn_distance,0.6953
3,interp,norm,0.5
3,interp,mean_l2,0.2717
3,interp,mahalanobis,0.3576
3,interp,pca_recon,0.3616
3,interp,coord_quantile,0.3105
3,interp,knn_distance,0.538
3,tangent_pert,norm,0.5
3,tangent_pert,mean_l2,0.6673
3,tangent_pert,mahalanobis,0.4636
3,tangent_pert,pca_recon,0.3998
3,tangent_pert,coord_quantile,0.6284
3,tangent_pert,knn_distance,0.6869
3,orth_pert,norm,0.5
3,orth_pert,mean_l2,0.6723
3,orth_pert,mahalanobis,0.9144
3,orth_pert,pca_recon,0.7586
3,orth_pert,coord_quantile,0.7059
3,orth_pert,knn_distance,0.696
6,iso_gauss,norm,0.9955
6,iso_gauss,mean_l2,0.9955
6,iso_gauss,mahalanobis,1.0
6,iso_gauss,pca_recon,1.0
6,iso_gauss,coord_quantile,1.0
6,iso_gauss,knn_distance,1.0
6,cov_gauss,norm,0.8859
6,cov_gauss,mean_l2,0.9334
6,cov_gauss,mahalanobis,0.4744
6,cov_gauss,pca_recon,0.5596
6,cov_gauss,coord_quantile,0.492
6,cov_gauss,knn_distance,0.9737
6,shuffle_coord,norm,0.5
6,shuffle_coord,mean_l2,0.9952
6,shuffle_coord,mahalanobis,1.0
6,shuffle_coord,pca_recon,0.9999
6,shuffle_coord,coord_quantile,0.7926
6,shuffle_coord,knn_distance,0.9999
6,norm_pert,norm,0.5
6,norm_pert,mean_l2,0.6713
6,norm_pert,mahalanobis,0.8618
6,norm_pert,pca_recon,0.7411
6,norm_pert,coord_quantile,0.6884
6,norm_pert,knn_distance,0.6755
6,interp,norm,0.5
6,interp,mean_l2,0.239
6,interp,mahalanobis,0.3194
6,interp,pca_recon,0.3148
6,interp,coord_quantile,0.2649
6,interp,knn_distance,0.4904
6,tangent_pert,norm,0.5
6,tangent_pert,mean_l2,0.6659
6,tangent_pert,mahalanobis,0.4252
6,tangent_pert,pca_recon,0.3521
6,tangent_pert,coord_quantile,0.6278
6,tangent_pert,knn_distance,0.6644
6,orth_pert,norm,0.5
6,orth_pert,mean_l2,0.6718
6,orth_pert,mahalanobis,0.8781
6,orth_pert,pca_recon,0.7611
6,orth_pert,coord_quantile,0.6916
6,orth_pert,knn_distance,0.676
9,iso_gauss,norm,0.9955
9,iso_gauss,mean_l2,0.9955
9,iso_gauss,mahalanobis,1.0
9,iso_gauss,pca_recon,1.0
9,iso_gauss,coord_quantile,1.0
9,iso_gauss,knn_distance,1.0
9,cov_gauss,norm,0.8265
9,cov_gauss,mean_l2,0.9045
9,cov_gauss,mahalanobis,0.4686
9,cov_gauss,pca_recon,0.533
9,cov_gauss,coord_quantile,0.5271
9,cov_gauss,knn_distance,0.9774
9,shuffle_coord,norm,0.5
9,shuffle_coord,mean_l2,0.9952
9,shuffle_coord,mahalanobis,1.0
9,shuffle_coord,pca_recon,0.9998
9,shuffle_coord,coord_quantile,0.8838
9,shuffle_coord,knn_distance,0.9999
9,norm_pert,norm,0.5
9,norm_pert,mean_l2,0.7594
9,norm_pert,mahalanobis,0.9035
9,norm_pert,pca_recon,0.8291
9,norm_pert,coord_quantile,0.7775
9,norm_pert,knn_distance,0.769
9,interp,norm,0.5
9,interp,mean_l2,0.1743
9,interp,mahalanobis,0.281
9,interp,pca_recon,0.2661
9,interp,coord_quantile,0.1923
9,interp,knn_distance,0.4364
9,tangent_pert,norm,0.5
9,tangent_pert,mean_l2,0.7465
9,tangent_pert,mahalanobis,0.4144
9,tangent_pert,pca_recon,0.3211
9,tangent_pert,coord_quantile,0.7195
9,tangent_pert,knn_distance,0.7492
9,orth_pert,norm,0.5
9,orth_pert,mean_l2,0.7604
9,orth_pert,mahalanobis,0.9187
9,orth_pert,pca_recon,0.8519
9,orth_pert,coord_quantile,0.7813
9,orth_pert,knn_distance,0.771
