family,baseline,auroc,auprc
iso_gauss,norm,0.9955,0.9757
iso_gauss,mean_l2,0.9955,0.9757
iso_gauss,mahalanobis,1.0,1.0
iso_gauss,pca_recon,1.0,1.0
iso_gauss,coord_quantile,1.0,1.0
iso_gauss,knn_distance,1.0,1.0
cov_gauss,norm,0.8926,0.9058
cov_gauss,mean_l2,0.9355,0.93
cov_gauss,mahalanobis,0.5336,0.4632
cov_gauss,pca_recon,0.594,0.4984
cov_gauss,coord_quantile,0.5193,0.4556
cov_gauss,knn_distance,0.9759,0.9779
shuffle_coord,norm,0.5,0.5
shuffle_coord,mean_l2,0.995,0.9777
shuffle_coord,mahalanobis,1.0,1.0
shuffle_coord,pca_recon,0.9998,0.9998
shuffle_coord,coord_quantile,0.7906,0.7947
shuffle_coord,knn_distance,0.9999,0.9999
norm_pert,norm,0.5,0.5
norm_pert,mean_l2,0.6723,0.635
norm_pert,mahalanobis,0.8608,0.8437
norm_pert,pca_recon,0.741,0.7297
norm_pert,coord_quantile,0.6897,0.6749
norm_pert,knn_distance,0.6776,0.6584
MACRO,norm,0.722,0.7204
MACRO,mean_l2,0.8996,0.8796
MACRO,mahalanobis,0.8486,0.8267
MACRO,pca_recon,0.8337,0.807
MACRO,coord_quantile,0.7499,0.7313
MACRO,knn_distance,0.9133,0.9091
