family,score,auroc
cov_gauss,mahalanobis,0.5504
cov_gauss,knn,0.9743
cov_gauss,entropy,0.9557
cov_gauss,plateau_kl,0.7623
norm_pert,mahalanobis,0.8641
norm_pert,knn,0.6793
norm_pert,entropy,0.5641
norm_pert,plateau_kl,0.5724
interp,mahalanobis,0.6848
interp,knn,0.5004
interp,entropy,0.599
interp,plateau_kl,0.615
tangent_pert,mahalanobis,0.5799
tangent_pert,knn,0.6687
tangent_pert,entropy,0.5626
tangent_pert,plateau_kl,0.5745
cov_gauss,COMBINED_lofo,0.9987
norm_pert,COMBINED_lofo,0.6116
interp,COMBINED_lofo,0.5385
tangent_pert,COMBINED_lofo,0.6935
