family,score,context,auroc
cov_gauss,maha_twosided,n/a,0.588
cov_gauss,knn_distance,n/a,0.849
cov_gauss,entropy,in_context,0.1166
cov_gauss,entropy,out_of_context,0.1212
cov_gauss,msp,in_context,0.1789
cov_gauss,msp,out_of_context,0.1139
cov_gauss,plateau_kl,in_context,0.9842
cov_gauss,plateau_kl,out_of_context,0.9373
interp,maha_twosided,n/a,0.514
interp,knn_distance,n/a,0.48
interp,entropy,in_context,0.3498
interp,entropy,out_of_context,0.384
interp,msp,in_context,0.3789
interp,msp,out_of_context,0.4078
interp,plateau_kl,in_context,0.7756
interp,plateau_kl,out_of_context,0.6288
tangent_pert,maha_twosided,n/a,0.4554
tangent_pert,knn_distance,n/a,0.6758
tangent_pert,entropy,in_context,0.433
tangent_pert,entropy,out_of_context,0.4297
tangent_pert,msp,in_context,0.448
tangent_pert,msp,out_of_context,0.4371
tangent_pert,plateau_kl,in_context,0.726
tangent_pert,plateau_kl,out_of_context,0.5791
