condition,family,baseline,auroc
WITHSINK,iso_gauss,norm,0.9951
WITHSINK,iso_gauss,mean_l2,0.9951
WITHSINK,iso_gauss,mahalanobis,1.0
WITHSINK,iso_gauss,pca_recon,1.0
WITHSINK,iso_gauss,coord_quantile,1.0
WITHSINK,iso_gauss,knn_distance,1.0
WITHSINK,cov_gauss,norm,0.8871
WITHSINK,cov_gauss,mean_l2,0.9347
WITHSINK,cov_gauss,mahalanobis,0.5183
WITHSINK,cov_gauss,pca_recon,0.5854
WITHSINK,cov_gauss,coord_quantile,0.5073
WITHSINK,cov_gauss,knn_distance,0.9749
WITHSINK,shuffle_coord,norm,0.5
WITHSINK,shuffle_coord,mean_l2,0.9949
WITHSINK,shuffle_coord,mahalanobis,1.0
WITHSINK,shuffle_coord,pca_recon,0.9999
WITHSINK,shuffle_coord,coord_quantile,0.7927
WITHSINK,shuffle_coord,knn_distance,1.0
WITHSINK,norm_pert,norm,0.5
WITHSINK,norm_pert,mean_l2,0.673
WITHSINK,norm_pert,mahalanobis,0.8678
WITHSINK,norm_pert,pca_recon,0.7441
WITHSINK,norm_pert,coord_quantile,0.6908
WITHSINK,norm_pert,knn_distance,0.6769
WITHSINK,MACRO,norm,0.7205
WITHSINK,MACRO,mean_l2,0.8994
WITHSINK,MACRO,mahalanobis,0.8465
WITHSINK,MACRO,pca_recon,0.8323
WITHSINK,MACRO,coord_quantile,0.7477
WITHSINK,MACRO,knn_distance,0.9129
NONSINK,iso_gauss,norm,0.5218
NONSINK,iso_gauss,mean_l2,0.5098
NONSINK,iso_gauss,mahalanobis,0.9964
NONSINK,iso_gauss,pca_recon,0.9245
NONSINK,iso_gauss,coord_quantile,0.6865
NONSINK,iso_gauss,knn_distance,0.8626
NONSINK,cov_gauss,norm,0.5025
NONSINK,cov_gauss,mean_l2,0.5104
NONSINK,cov_gauss,mahalanobis,0.5177
NONSINK,cov_gauss,pca_recon,0.4989
NONSINK,cov_gauss,coord_quantile,0.5009
NONSINK,cov_gauss,knn_distance,0.7814
NONSINK,shuffle_coord,norm,0.5
NONSINK,shuffle_coord,mean_l2,0.9997
NONSINK,shuffle_coord,mahalanobis,1.0
NONSINK,shuffle_coord,pca_recon,0.9999
NONSINK,shuffle_coord,coord_quantile,0.8082
NONSINK,shuffle_coord,knn_distance,0.9999
NONSINK,norm_pert,norm,0.5
NONSINK,norm_pert,mean_l2,0.6563
NONSINK,norm_pert,mahalanobis,0.8771
NONSINK,norm_pert,pca_recon,0.7418
NONSINK,norm_pert,coord_quantile,0.6916
NONSINK,norm_pert,knn_distance,0.676
NONSINK,MACRO,norm,0.5061
NONSINK,MACRO,mean_l2,0.669
NONSINK,MACRO,mahalanobis,0.8478
NONSINK,MACRO,pca_recon,0.7913
NONSINK,MACRO,coord_quantile,0.6718
NONSINK,MACRO,knn_distance,0.83
