method,E_effect,C_offtarget,entropy,KL_from_clean,knn_dist,dist_to_mean,move
steered(full),182.4175,282.3147,4.1744,0.9362,94.1749,97.1001,70.4726
alpha_shrink(f=0.00),0.0,0.0,3.5356,0.0,63.1734,66.9383,0.0
alpha_shrink(f=0.15),41.4219,2.0426,3.5303,0.0107,64.04,67.7225,10.5709
alpha_shrink(f=0.30),81.7589,27.6831,3.5423,0.0484,66.6147,70.1306,21.1418
alpha_shrink(f=0.45),121.2032,89.0354,3.6152,0.1568,70.6759,73.9958,31.7127
alpha_shrink(f=0.60),149.2266,157.8116,3.7506,0.3377,75.9561,79.0969,42.2836
alpha_shrink(f=0.75),164.6007,209.3396,3.9191,0.5349,82.202,85.2075,52.8545
alpha_shrink(f=0.90),175.4731,253.4658,4.0739,0.7601,89.1913,92.1249,63.4254
alpha_shrink(f=1.00),182.4175,282.3147,4.1744,0.9362,94.1749,97.1001,70.4726
manifold(t=0.10),176.1457,267.7701,4.1691,0.8725,86.9476,89.626,63.9146
random(t=0.10-matched),181.5561,283.3938,4.1641,0.9444,94.5028,97.4277,70.9317
manifold(t=0.20),170.1411,254.8647,4.1667,0.8196,79.881,82.3029,57.8047
random(t=0.20-matched),180.0647,287.3774,4.167,0.967,95.539,98.4542,72.3465
manifold(t=0.35),160.8341,237.1922,4.172,0.7605,69.6875,71.6997,49.8212
random(t=0.35-matched),176.7306,298.3837,4.197,1.0252,98.3689,101.2541,76.1321
manifold(t=0.50),145.2836,211.798,4.1534,0.6902,60.206,61.7557,43.8827
random(t=0.50-matched),172.3968,314.4188,4.2497,1.1106,102.614,105.4539,81.6536
manifold(t=0.75),89.473,208.4108,4.3974,0.908,47.134,47.7383,40.6815
random(t=0.75-matched),163.8936,348.0504,4.3715,1.3093,112.3763,115.1254,93.836
manifold(t=1.00),37.0506,282.2732,4.7671,1.6425,40.4573,39.9691,47.1561
random(t=1.00-matched),154.5657,385.8471,4.5167,1.5596,124.783,127.4562,108.6276
