condition,src,plateau_auc_low,norm,dist_to_source,recon_err,l0,kl_r02
real,0,0.2263,80.251,0.0,0.0,31,9e-05
real,1,0.91754,65.016,0.0,0.0,38,0.0
real,2,0.13811,88.185,0.0,0.0,25,0.00024
real,3,0.18962,78.893,0.0,0.0,63,0.00013
real,4,0.15643,83.058,0.0,0.0,7,0.00018
real,5,0.14052,78.093,0.0,0.0,32,0.00032
real,6,0.18593,65.439,0.0,0.0,16,0.0002
real,7,0.16314,90.824,0.0,0.0,29,0.00017
real,8,0.15005,66.922,0.0,0.0,84,0.00026
real,9,0.28777,93.394,0.0,0.0,27,5e-05
real,10,0.12462,81.45,0.0,0.0,73,0.0003
real,11,0.11267,90.837,0.0,0.0,35,0.00036
real,12,0.26675,83.951,0.0,0.0,124,7e-05
real,13,0.12357,82.318,0.0,0.0,53,0.00034
real,14,0.0691,83.043,0.0,0.0,8,0.00093
real,15,0.37367,82.043,0.0,0.0,27,3e-05
real,16,0.21118,64.587,0.0,0.0,83,0.00011
real,17,0.14718,81.582,0.0,0.0,30,0.0002
real,18,0.28261,76.604,0.0,0.0,40,6e-05
real,19,0.19977,79.257,0.0,0.0,30,0.00018
real,20,0.22338,77.623,0.0,0.0,37,9e-05
real,21,0.20201,97.423,0.0,0.0,76,0.00012
real,22,0.13065,75.42,0.0,0.0,45,0.00028
real,23,0.25047,84.971,0.0,0.0,12,8e-05
real,24,0.22844,84.344,0.0,0.0,17,9e-05
real,25,0.51826,79.581,0.0,0.0,8,2e-05
real,26,0.16859,73.313,0.0,0.0,23,0.00018
real,27,0.1296,77.505,0.0,0.0,18,0.00029
real,28,0.28886,71.186,0.0,0.0,8,6e-05
real,29,0.30679,97.025,0.0,0.0,44,7e-05
real,30,0.17089,72.148,0.0,0.0,118,0.00018
real,31,0.11477,85.755,0.0,0.0,17,0.0005
real,32,0.28386,64.616,0.0,0.0,12,6e-05
real,33,0.21298,81.698,0.0,0.0,43,0.0001
real,34,0.16669,84.806,0.0,0.0,32,0.00023
real,35,0.33598,62.344,0.0,0.0,66,4e-05
real,36,0.0865,80.452,0.0,0.0,9,0.00089
real,37,0.1368,77.635,0.0,0.0,19,0.00025
real,38,0.16886,78.764,0.0,0.0,11,0.00015
real,39,0.2314,83.443,0.0,0.0,41,0.0001
real,40,0.09803,84.327,0.0,0.0,47,0.0005
real,41,0.21286,83.434,0.0,0.0,10,0.00012
real,42,0.25516,84.699,0.0,0.0,11,9e-05
real,43,0.25325,68.71,0.0,0.0,84,7e-05
real,44,0.26474,76.88,0.0,0.0,47,7e-05
real,45,0.15932,68.189,0.0,0.0,14,0.0002
real,46,0.2204,79.887,0.0,0.0,40,0.0001
real,47,0.99873,80.75,0.0,0.0,14,0.0
real,48,0.1971,68.763,0.0,0.0,36,0.00014
real,49,0.21452,84.502,0.0,0.0,35,0.0001
real,50,0.23093,72.077,0.0,0.0,38,0.00012
real,51,0.13102,93.805,0.0,0.0,18,0.00028
real,52,0.19804,73.509,0.0,0.0,20,0.00013
real,53,0.21801,86.817,0.0,0.0,41,0.0001
real,54,0.15455,70.695,0.0,0.0,34,0.00027
real,55,0.07111,83.035,0.0,0.0,10,0.00086
real,56,0.17508,73.677,0.0,0.0,94,0.00018
real,57,0.15042,73.523,0.0,0.0,105,0.0002
real,58,0.16741,82.075,0.0,0.0,17,0.00014
real,59,0.23,71.706,0.0,0.0,66,9e-05
real,60,0.12997,80.561,0.0,0.0,73,0.00036
real,61,0.98351,85.742,0.0,0.0,167,0.0
real,62,0.15109,81.233,0.0,0.0,11,0.00019
real,63,0.98576,97.021,0.0,0.0,42,0.0
real,64,0.19271,72.48,0.0,0.0,67,0.00013
real,65,0.26618,63.724,0.0,0.0,13,7e-05
real,66,0.20367,69.766,0.0,0.0,31,0.00011
real,67,0.25824,75.481,0.0,0.0,4,7e-05
real,68,0.19523,69.778,0.0,0.0,55,0.00011
real,69,0.96626,85.298,0.0,0.0,82,0.0
real,70,0.08589,87.838,0.0,0.0,13,0.00075
real,71,0.13572,84.332,0.0,0.0,16,0.00044
real,72,0.24943,68.811,0.0,0.0,13,8e-05
real,73,0.23012,92.031,0.0,0.0,23,9e-05
real,74,0.54893,91.761,0.0,0.0,119,2e-05
real,75,0.17935,82.71,0.0,0.0,17,0.00016
real,76,0.09221,79.083,0.0,0.0,41,0.00053
real,77,0.24375,71.396,0.0,0.0,28,8e-05
real,78,0.10629,76.42,0.0,0.0,39,0.00045
real,79,0.22184,84.739,0.0,0.0,12,9e-05
real,80,0.22073,88.346,0.0,0.0,12,0.0001
real,81,0.22137,87.07,0.0,0.0,27,9e-05
real,82,0.12741,72.94,0.0,0.0,32,0.00037
real,83,0.1825,71.788,0.0,0.0,85,0.00014
real,84,0.14484,79.33,0.0,0.0,20,0.00023
real,85,0.16377,97.16,0.0,0.0,83,0.00016
real,86,0.24601,79.345,0.0,0.0,77,8e-05
real,87,0.57912,72.758,0.0,0.0,17,4e-05
real,88,0.18723,74.634,0.0,0.0,43,0.00014
real,89,0.13115,76.488,0.0,0.0,17,0.00036
real,90,0.25823,84.524,0.0,0.0,38,8e-05
real,91,0.17679,88.44,0.0,0.0,33,0.00014
real,92,0.27556,74.18,0.0,0.0,36,6e-05
real,93,0.2137,76.479,0.0,0.0,19,0.0001
real,94,0.35396,91.158,0.0,0.0,36,4e-05
real,95,0.1581,66.933,0.0,0.0,34,0.00019
real,96,0.29892,89.982,0.0,0.0,72,5e-05
real,97,0.24515,76.489,0.0,0.0,22,0.0001
real,98,0.21083,69.044,0.0,0.0,11,0.00013
real,99,0.18489,85.411,0.0,0.0,95,0.00016
real,100,0.34658,93.819,0.0,0.0,91,5e-05
real,101,0.21065,72.757,0.0,0.0,39,0.00011
real,102,0.1594,75.871,0.0,0.0,31,0.00021
real,103,0.09195,89.255,0.0,0.0,35,0.00055
real,104,0.2067,82.409,0.0,0.0,25,0.00015
real,105,0.20435,87.326,0.0,0.0,7,0.00017
real,106,0.28294,68.35,0.0,0.0,27,7e-05
real,107,0.17336,76.656,0.0,0.0,10,0.00018
real,108,0.13773,71.585,0.0,0.0,24,0.00033
real,109,0.15757,77.688,0.0,0.0,16,0.00018
real,110,0.1623,73.074,0.0,0.0,71,0.00016
real,111,0.10192,65.93,0.0,0.0,25,0.00064
real,112,0.19811,73.179,0.0,0.0,92,0.00013
real,113,0.14536,78.202,0.0,0.0,81,0.00023
real,114,0.16413,64.918,0.0,0.0,5,0.00016
real,115,0.19288,73.884,0.0,0.0,81,0.00013
real,116,0.35389,74.054,0.0,0.0,60,6e-05
real,117,0.18055,79.379,0.0,0.0,96,0.00014
real,118,0.20528,60.663,0.0,0.0,26,0.00011
real,119,0.47219,84.674,0.0,0.0,12,2e-05
real,120,0.20148,86.105,0.0,0.0,51,0.00014
real,121,0.28086,85.602,0.0,0.0,96,6e-05
real,122,0.15751,74.314,0.0,0.0,37,0.00019
real,123,0.11927,76.808,0.0,0.0,42,0.00035
real,124,0.21295,77.426,0.0,0.0,61,0.00014
real,125,0.11088,79.679,0.0,0.0,19,0.00037
real,126,0.20368,70.408,0.0,0.0,22,0.00014
real,127,0.20564,85.936,0.0,0.0,134,0.00012
real,128,0.47606,102.547,0.0,0.0,273,3e-05
real,129,0.29005,84.247,0.0,0.0,17,5e-05
real,130,0.46607,94.183,0.0,0.0,41,2e-05
real,131,0.172,79.649,0.0,0.0,22,0.00016
real,132,0.1663,88.37,0.0,0.0,39,0.00015
real,133,0.18506,83.282,0.0,0.0,27,0.00013
real,134,0.33949,81.81,0.0,0.0,108,4e-05
real,135,0.37822,76.069,0.0,0.0,23,6e-05
real,136,0.18737,75.203,0.0,0.0,78,0.00022
real,137,0.10331,82.238,0.0,0.0,14,0.00049
real,138,0.20119,83.274,0.0,0.0,15,0.00013
real,139,0.16963,85.286,0.0,0.0,32,0.00015
real,140,0.15272,75.336,0.0,0.0,32,0.00017
real,141,0.14888,67.137,0.0,0.0,36,0.00023
real,142,0.10633,69.378,0.0,0.0,28,0.00049
real,143,0.24901,75.32,0.0,0.0,16,8e-05
real,144,0.17987,95.708,0.0,0.0,24,0.00014
real,145,0.26087,97.408,0.0,0.0,93,7e-05
real,146,0.12776,90.938,0.0,0.0,25,0.00029
real,147,0.22162,84.631,0.0,0.0,32,0.00014
real,148,0.1279,79.931,0.0,0.0,12,0.00035
real,149,0.48564,68.282,0.0,0.0,27,4e-05
real,150,0.22018,71.781,0.0,0.0,52,0.0001
real,151,0.18327,84.717,0.0,0.0,25,0.00013
real,152,0.12569,79.256,0.0,0.0,23,0.00032
real,153,0.19372,72.205,0.0,0.0,691,0.00013
real,154,0.12991,80.614,0.0,0.0,15,0.00028
real,155,0.32402,66.632,0.0,0.0,63,5e-05
real,156,0.12411,80.871,0.0,0.0,26,0.00031
real,157,0.11912,84.956,0.0,0.0,58,0.00034
real,158,0.12055,61.561,0.0,0.0,59,0.00034
real,159,0.14197,92.765,0.0,0.0,92,0.00022
real,160,0.23471,73.663,0.0,0.0,43,9e-05
real,161,0.16834,70.637,0.0,0.0,28,0.00017
real,162,0.25533,76.516,0.0,0.0,43,7e-05
real,163,0.16703,89.211,0.0,0.0,35,0.00021
real,164,0.12113,85.827,0.0,0.0,14,0.00033
real,165,0.19689,76.871,0.0,0.0,123,0.00012
real,166,0.47991,82.005,0.0,0.0,74,2e-05
real,167,0.46663,84.747,0.0,0.0,34,2e-05
real,168,0.13394,81.219,0.0,0.0,18,0.00026
real,169,0.22335,76.391,0.0,0.0,44,0.0001
real,170,0.27691,77.002,0.0,0.0,84,6e-05
real,171,0.16307,82.121,0.0,0.0,36,0.00017
real,172,0.24599,63.783,0.0,0.0,27,8e-05
real,173,0.12437,89.411,0.0,0.0,21,0.00033
real,174,0.25041,80.845,0.0,0.0,63,8e-05
real,175,0.1492,81.691,0.0,0.0,58,0.00022
real,176,0.23521,68.859,0.0,0.0,22,9e-05
real,177,0.08497,93.819,0.0,0.0,6,0.00074
real,178,0.27305,66.262,0.0,0.0,6,7e-05
real,179,0.21423,68.38,0.0,0.0,28,0.0001
real,180,0.22058,78.544,0.0,0.0,35,0.0001
real,181,0.441,71.504,0.0,0.0,6,0.00053
real,182,0.23251,81.521,0.0,0.0,80,0.0001
real,183,0.2349,80.863,0.0,0.0,21,9e-05
real,184,0.21686,69.945,0.0,0.0,33,0.00012
real,185,0.12032,75.928,0.0,0.0,23,0.00042
real,186,0.18321,80.763,0.0,0.0,13,0.00014
real,187,0.16843,74.334,0.0,0.0,8,0.00015
real,188,0.28197,91.754,0.0,0.0,44,7e-05
real,189,0.52527,76.23,0.0,0.0,44,2e-05
real,190,0.16816,75.952,0.0,0.0,85,0.00014
real,191,0.50496,88.455,0.0,0.0,27,2e-05
real,192,0.20863,83.543,0.0,0.0,33,0.00011
real,193,0.17144,83.626,0.0,0.0,33,0.00019
real,194,0.17712,97.071,0.0,0.0,44,0.00017
real,195,0.77317,83.092,0.0,0.0,12,1e-05
real,196,0.28328,76.884,0.0,0.0,67,6e-05
real,197,0.43327,91.306,0.0,0.0,51,4e-05
real,198,0.36656,76.548,0.0,0.0,34,4e-05
real,199,0.31424,65.489,0.0,0.0,25,4e-05
recon,0,0.24517,68.315,24.836,24.836,31,9e-05
recon,1,0.93447,59.823,14.789,14.789,38,0.0
recon,2,0.11638,75.303,30.141,30.141,25,0.00034
recon,3,0.19058,81.045,19.651,19.651,63,0.00013
recon,4,0.12717,69.338,32.586,32.586,7,0.00029
recon,5,0.10798,70.879,22.149,22.149,32,0.00043
recon,6,0.1075,55.08,28.348,28.348,16,0.00052
recon,7,0.14186,66.192,41.337,41.337,29,0.00022
recon,8,0.15307,64.853,15.736,15.736,84,0.00028
recon,9,0.23525,62.902,46.422,46.422,27,9e-05
recon,10,0.15827,82.381,18.695,18.695,73,0.0002
recon,11,0.10418,64.213,47.073,47.073,35,0.00045
recon,12,0.29382,112.215,37.969,37.969,124,5e-05
recon,13,0.11374,73.265,27.396,27.396,53,0.00043
recon,14,0.04332,56.252,46.948,46.948,8,0.00272
recon,15,0.2192,65.865,38.583,38.583,27,0.0001
recon,16,0.21465,66.549,15.26,15.26,83,0.0001
recon,17,0.12957,66.237,25.664,25.664,30,0.00028
recon,18,0.26211,68.35,17.736,17.736,40,7e-05
recon,19,0.15916,63.641,33.059,33.059,30,0.00028
recon,20,0.22686,68.609,20.166,20.166,37,9e-05
recon,21,0.19638,93.308,22.694,22.694,76,0.00013
recon,22,0.12698,71.236,21.899,21.899,45,0.00029
recon,23,0.223,72.51,26.558,26.558,12,0.0001
recon,24,0.14425,70.907,31.51,31.51,17,0.00027
recon,25,0.55081,73.784,15.687,15.687,8,2e-05
recon,26,0.18815,65.214,23.213,23.213,23,0.00017
recon,27,0.12537,67.794,24.199,24.199,18,0.00031
recon,28,0.2171,58.177,24.611,24.611,8,0.00012
recon,29,0.27672,96.037,17.916,17.916,44,0.0001
recon,30,0.19737,84.972,26.181,26.181,118,0.00013
recon,31,0.08263,75.928,24.911,24.911,17,0.00097
recon,32,0.1711,54.655,25.428,25.428,12,0.00015
recon,33,0.18257,72.603,20.781,20.781,43,0.00014
recon,34,0.161,77.344,18.347,18.347,32,0.00023
recon,35,0.33364,62.001,12.199,12.199,66,4e-05
recon,36,0.09266,61.277,40.604,40.604,9,0.00083
recon,37,0.09731,64.931,36.879,36.879,19,0.00059
recon,38,0.1424,69.682,19.431,19.431,11,0.00023
recon,39,0.13757,73.31,25.651,25.651,41,0.00026
recon,40,0.08856,70.128,28.914,28.914,47,0.0006
recon,41,0.179,73.402,22.2,22.2,10,0.00014
recon,42,0.10084,66.33,31.049,31.049,11,0.00056
recon,43,0.2398,80.831,29.158,29.158,84,8e-05
recon,44,0.23711,72.246,21.519,21.519,47,8e-05
recon,45,0.10868,59.57,22.773,22.773,14,0.00047
recon,46,0.20763,72.811,17.752,17.752,40,0.00012
recon,47,0.05498,53.386,62.514,62.514,14,0.00169
recon,48,0.14062,59.373,26.836,26.836,36,0.00029
recon,49,0.16909,75.274,28.943,28.943,35,0.00017
recon,50,0.15941,61.518,24.88,24.88,38,0.00027
recon,51,0.06387,58.247,57.714,57.714,18,0.00123
recon,52,0.15507,61.123,27.764,27.764,20,0.0002
recon,53,0.22673,79.907,24.294,24.294,41,9e-05
recon,54,0.22864,61.24,24.391,24.391,34,0.0001
recon,55,0.06875,67.15,34.041,34.041,10,0.00095
recon,56,0.19169,80.06,20.361,20.361,94,0.00015
recon,57,0.17252,84.289,24.927,24.927,105,0.00017
recon,58,0.14753,69.16,27.636,27.636,17,0.00021
recon,59,0.24202,68.496,14.986,14.986,66,9e-05
recon,60,0.11371,76.348,22.23,22.23,73,0.00044
recon,61,0.98673,100.208,34.492,34.492,167,0.0
recon,62,0.17158,72.367,25.393,25.393,11,0.00015
recon,63,0.93671,76.69,39.331,39.331,42,0.0
recon,64,0.19977,70.106,15.792,15.792,67,0.00011
recon,65,0.13515,54.28,27.786,27.786,13,0.00027
recon,66,0.16463,58.945,26.732,26.732,31,0.00015
recon,67,0.15404,61.371,24.303,24.303,4,0.00018
recon,68,0.18612,65.121,19.568,19.568,55,0.00013
recon,69,0.94918,80.045,29.918,29.918,82,0.0
recon,70,0.08153,75.177,29.14,29.14,13,0.00072
recon,71,0.06216,71.086,27.673,27.673,16,0.00212
recon,72,0.20768,60.703,22.317,22.317,13,0.00012
recon,73,0.13346,63.384,46.103,46.103,23,0.00031
recon,74,0.52297,86.269,29.327,29.327,119,2e-05
recon,75,0.18728,69.525,24.603,24.603,17,0.00015
recon,76,0.10547,72.64,18.297,18.297,41,0.00047
recon,77,0.15699,59.237,25.221,25.221,28,0.00019
recon,78,0.10603,66.052,27.442,27.442,39,0.00046
recon,79,0.23931,59.742,45.457,45.457,12,8e-05
recon,80,0.07302,54.925,59.907,59.907,12,0.00207
recon,81,0.16743,63.934,40.246,40.246,27,0.00018
recon,82,0.13126,63.491,26.647,26.647,32,0.00031
recon,83,0.17423,70.43,17.658,17.658,85,0.00015
recon,84,0.14287,66.634,28.176,28.176,20,0.00028
recon,85,0.16291,88.783,29.404,29.404,83,0.00016
recon,86,0.26085,76.101,20.64,20.64,77,7e-05
recon,87,0.54665,67.41,18.243,18.243,17,3e-05
recon,88,0.1621,69.965,21.623,21.623,43,0.0002
recon,89,0.07152,60.978,33.218,33.218,17,0.00091
recon,90,0.25686,76.887,21.729,21.729,38,0.0001
recon,91,0.14031,72.328,28.829,28.829,33,0.00025
recon,92,0.2583,67.231,23.168,23.168,36,8e-05
recon,93,0.15504,60.912,31.136,31.136,19,0.00018
recon,94,0.36589,75.603,30.73,30.73,36,4e-05
recon,95,0.14982,61.883,15.762,15.762,34,0.00019
recon,96,0.28965,80.477,28.608,28.608,72,6e-05
recon,97,0.24834,66.245,24.778,24.778,22,9e-05
recon,98,0.1373,60.678,20.301,20.301,11,0.00024
recon,99,0.19909,92.91,21.194,21.194,95,0.00012
recon,100,0.34127,91.332,24.784,24.784,91,4e-05
recon,101,0.18558,68.385,17.414,17.414,39,0.00014
recon,102,0.15727,69.432,17.378,17.378,31,0.00021
recon,103,0.09533,61.514,46.455,46.455,35,0.00048
recon,104,0.15472,66.892,32.233,32.233,25,0.00024
recon,105,0.25615,74.042,24.863,24.863,7,0.00016
recon,106,0.20536,57.357,28.071,28.071,27,0.00012
recon,107,0.12405,61.533,32.879,32.879,10,0.00031
recon,108,0.11045,66.603,17.757,17.757,24,0.00064
recon,109,0.13736,55.256,45.206,45.206,16,0.00027
recon,110,0.14911,65.62,29.531,29.531,71,0.0002
recon,111,0.16166,59.525,29.893,29.893,25,0.00022
recon,112,0.17992,74.506,17.301,17.301,92,0.00014
recon,113,0.13778,82.876,23.312,23.312,81,0.00024
recon,114,0.08931,54.082,31.263,31.263,5,0.00064
recon,115,0.18981,72.455,20.906,20.906,81,0.00016
recon,116,0.48486,68.518,18.12,18.12,60,3e-05
recon,117,0.16228,81.074,19.309,19.309,96,0.00021
recon,118,0.15119,54.638,24.805,24.805,26,0.00019
recon,119,0.56223,65.587,41.107,41.107,12,2e-05
recon,120,0.18358,83.98,21.941,21.941,51,0.00015
recon,121,0.25688,91.208,25.543,25.543,96,7e-05
recon,122,0.15363,66.423,21.966,21.966,37,0.00024
recon,123,0.10788,59.667,33.453,33.453,42,0.00049
recon,124,0.2058,73.648,18.02,18.02,61,0.00016
recon,125,0.12578,65.265,34.009,34.009,19,0.00034
recon,126,0.19662,66.41,14.105,14.105,22,0.00013
recon,127,0.18385,110.491,36.726,36.726,134,0.00015
recon,128,0.32083,160.013,71.809,71.809,273,6e-05
recon,129,0.11157,58.071,41.417,41.417,17,0.0004
recon,130,0.21764,70.686,39.122,39.122,41,0.00015
recon,131,0.0994,65.405,32.044,32.044,22,0.00051
recon,132,0.15328,71.727,31.61,31.61,39,0.00019
recon,133,0.15862,66.712,32.695,32.695,27,0.00018
recon,134,0.34333,79.577,21.852,21.852,108,4e-05
recon,135,0.27754,64.241,23.224,23.224,23,9e-05
recon,136,0.24876,77.361,20.026,20.026,78,9e-05
recon,137,0.0927,66.528,30.085,30.085,14,0.00059
recon,138,0.13494,54.984,52.507,52.507,15,0.00025
recon,139,0.17166,70.244,30.123,30.123,32,0.00014
recon,140,0.15129,67.882,19.171,19.171,32,0.00018
recon,141,0.1332,58.88,22.381,22.381,36,0.00035
recon,142,0.10107,58.804,24.166,24.166,28,0.00048
recon,143,0.23294,63.837,24.221,24.221,16,9e-05
recon,144,0.09751,64.832,44.915,44.915,24,0.00053
recon,145,0.21987,103.63,27.224,27.224,93,0.0001
recon,146,0.12558,70.004,36.457,36.457,25,0.0003
recon,147,0.20491,69.597,30.347,30.347,32,0.00017
recon,148,0.12866,68.222,26.67,26.67,12,0.00029
recon,149,0.50644,60.642,16.631,16.631,27,3e-05
recon,150,0.2212,68.839,15.436,15.436,52,0.0001
recon,151,0.13835,66.707,34.652,34.652,25,0.00025
recon,152,0.12439,64.929,28.954,28.954,23,0.00031
