condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
real,100,0.34103,0.0,91,,
real,101,0.19385,0.0,39,,
real,102,0.17563,0.0,31,,
real,103,0.08355,0.0,35,,
real,104,0.17046,0.0,25,,
real,105,0.15759,0.0,7,,
real,106,0.21392,0.0,27,,
real,107,0.20893,0.0,10,,
real,108,0.17456,0.0,24,,
real,109,0.16749,0.0,16,,
real,110,0.17233,0.0,71,,
real,111,0.11147,0.0,25,,
real,112,0.17916,0.0,92,,
real,113,0.16127,0.0,81,,
real,114,0.17053,0.0,5,,
real,115,0.22238,0.0,81,,
real,116,0.54597,0.0,60,,
real,117,0.20088,0.0,96,,
real,118,0.2005,0.0,26,,
real,119,0.53403,0.0,12,,
real,120,0.18854,0.0,51,,
real,121,0.22539,0.0,96,,
real,122,0.16957,0.0,37,,
real,123,0.11803,0.0,42,,
real,124,0.1874,0.0,61,,
real,125,0.12151,0.0,19,,
real,126,0.1743,0.0,22,,
real,127,0.26079,0.0,134,,
real,128,0.51125,0.0,273,,
real,129,0.2898,0.0,17,,
real,130,0.4719,0.0,41,,
real,131,0.1816,0.0,22,,
real,132,0.14139,0.0,39,,
real,133,0.19671,0.0,27,,
real,134,0.32344,0.0,108,,
real,135,0.41478,0.0,23,,
real,136,0.23571,0.0,78,,
real,137,0.1117,0.0,14,,
real,138,0.22801,0.0,15,,
real,139,0.16187,0.0,32,,
real,140,0.15393,0.0,32,,
real,141,0.11707,0.0,36,,
real,142,0.10576,0.0,28,,
real,143,0.22806,0.0,16,,
real,144,0.20071,0.0,24,,
real,145,0.24121,0.0,93,,
real,146,0.11627,0.0,25,,
real,147,0.21592,0.0,32,,
real,148,0.1421,0.0,12,,
real,149,0.60483,0.0,27,,
real,150,0.23324,0.0,52,,
real,151,0.17959,0.0,25,,
real,152,0.14522,0.0,23,,
real,153,0.21712,0.0,691,,
real,154,0.12151,0.0,15,,
real,155,0.36685,0.0,63,,
real,156,0.12086,0.0,26,,
real,157,0.11105,0.0,58,,
real,158,0.13805,0.0,59,,
real,159,0.14825,0.0,92,,
real,160,0.18592,0.0,43,,
real,161,0.19128,0.0,28,,
real,162,0.2553,0.0,43,,
real,163,0.16902,0.0,35,,
real,164,0.12569,0.0,14,,
real,165,0.22524,0.0,123,,
real,166,0.55306,0.0,74,,
real,167,0.44388,0.0,34,,
