condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
recon,100,0.40227,24.784,91,0.17593,0.22634
recon,101,0.17051,17.414,39,0.18719,-0.01668
recon,102,0.16189,17.378,31,0.18726,-0.02536
recon,103,0.09083,46.455,35,0.14188,-0.05105
recon,104,0.15208,32.233,25,0.16525,-0.01317
recon,105,0.16858,24.863,7,0.17583,-0.00726
recon,106,0.16859,28.071,27,0.17196,-0.00337
recon,107,0.10254,32.879,10,0.16398,-0.06144
recon,108,0.14344,17.757,24,0.18657,-0.04313
recon,109,0.11779,45.206,16,0.14362,-0.02584
recon,110,0.16446,29.531,71,0.17034,-0.00588
recon,111,0.19,29.893,25,0.16995,0.02004
recon,112,0.15648,17.301,92,0.1874,-0.03092
recon,113,0.11087,23.312,81,0.17789,-0.06702
recon,114,0.07689,31.263,5,0.1672,-0.09031
recon,115,0.21742,20.906,81,0.18136,0.03606
recon,116,0.60883,18.12,60,0.18592,0.42291
recon,117,0.17198,19.309,96,0.18389,-0.01192
recon,118,0.17127,24.805,26,0.1759,-0.00464
recon,119,0.47887,41.107,12,0.1497,0.32917
recon,120,0.17023,21.941,51,0.17982,-0.00959
recon,121,0.24958,25.543,96,0.17497,0.07461
recon,122,0.14219,21.966,37,0.17978,-0.0376
recon,123,0.10675,33.453,42,0.16287,-0.05612
recon,124,0.18416,18.02,61,0.1861,-0.00194
recon,125,0.12364,34.009,19,0.16182,-0.03818
recon,126,0.17323,14.105,22,0.19195,-0.01872
recon,127,0.24563,36.726,134,0.15691,0.08872
recon,128,0.24468,71.809,273,0.11242,0.13225
recon,129,0.12136,41.417,17,0.14922,-0.02786
recon,130,0.25137,39.122,41,0.15287,0.0985
recon,131,0.08765,32.044,22,0.16563,-0.07798
recon,132,0.17795,31.61,39,0.1665,0.01145
recon,133,0.13462,32.695,27,0.16434,-0.02972
recon,134,0.4242,21.852,108,0.17995,0.24425
recon,135,0.36554,23.224,23,0.178,0.18753
recon,136,0.25408,20.026,78,0.18273,0.07134
recon,137,0.08641,30.085,14,0.16966,-0.08325
recon,138,0.1598,52.507,15,0.13405,0.02575
recon,139,0.15535,30.123,32,0.16958,-0.01423
recon,140,0.17171,19.171,32,0.18412,-0.01241
recon,141,0.11406,22.381,36,0.17918,-0.06512
recon,142,0.09716,24.166,28,0.17674,-0.07957
recon,143,0.20604,24.221,16,0.17666,0.02937
recon,144,0.10309,44.915,24,0.14404,-0.04095
recon,145,0.25003,27.224,93,0.17294,0.0771
recon,146,0.11313,36.457,25,0.15738,-0.04425
recon,147,0.19954,30.347,32,0.1691,0.03043
recon,148,0.11828,26.67,12,0.17359,-0.05531
recon,149,0.42373,16.631,27,0.18866,0.23508
recon,150,0.18514,15.436,52,0.19104,-0.0059
recon,151,0.14824,34.652,25,0.16062,-0.01238
recon,152,0.10445,28.954,23,0.17097,-0.06652
recon,153,0.12347,105.916,691,0.08409,0.03938
recon,154,0.08795,44.433,15,0.14473,-0.05678
recon,155,0.37364,15.005,63,0.19194,0.1817
recon,156,0.1372,23.493,26,0.17764,-0.04044
recon,157,0.09874,19.628,58,0.18337,-0.08463
recon,158,0.11533,18.048,59,0.18605,-0.07072
recon,159,0.13552,30.274,92,0.16926,-0.03374
recon,160,0.22881,20.145,43,0.18254,0.04627
recon,161,0.23506,19.402,28,0.18374,0.05132
recon,162,0.26623,20.844,43,0.18145,0.08477
recon,163,0.122,26.339,35,0.17399,-0.05199
recon,164,0.11079,33.374,14,0.16303,-0.05223
recon,165,0.17781,25.743,123,0.17472,0.00309
recon,166,0.5987,27.724,74,0.17236,0.42634
recon,167,0.41485,20.241,34,0.18239,0.23246
recon,168,0.12842,24.007,18,0.17695,-0.04853
recon,169,0.1732,20.301,44,0.1823,-0.0091
recon,170,0.17142,21.103,84,0.18106,-0.00964
recon,171,0.16177,22.509,36,0.179,-0.01723
recon,172,0.2051,18.446,27,0.18535,0.01974
recon,173,0.11591,35.558,21,0.15897,-0.04307
recon,174,0.23911,18.948,63,0.1845,0.05461
recon,175,0.1437,21.01,58,0.1812,-0.0375
recon,176,0.19532,24.201,22,0.17669,0.01863
recon,177,0.06948,33.485,6,0.16281,-0.09333
recon,178,0.12267,30.617,6,0.16854,-0.04586
recon,179,0.21096,14.485,28,0.19195,0.01901
recon,180,0.24485,29.831,35,0.17002,0.07483
recon,181,0.1456,22.577,6,0.17891,-0.03331
recon,182,0.27309,20.928,80,0.18133,0.09177
recon,183,0.16753,28.776,21,0.17117,-0.00363
recon,184,0.15635,16.998,33,0.18796,-0.03161
recon,185,0.09135,39.24,23,0.15267,-0.06132
recon,186,0.13,32.418,13,0.16488,-0.03488
recon,187,0.15306,19.033,8,0.18435,-0.03129
recon,188,0.31564,20.696,44,0.18168,0.13395
recon,189,0.42108,28.521,44,0.17145,0.24963
recon,190,0.15226,21.642,85,0.18026,-0.028
recon,191,0.12178,34.468,27,0.16096,-0.03919
recon,192,0.16304,28.293,33,0.17171,-0.00867
recon,193,0.11348,34.733,33,0.16047,-0.04699
recon,194,0.16724,20.347,44,0.18222,-0.01498
recon,195,0.08037,46.219,12,0.14221,-0.06184
recon,196,0.25083,26.096,67,0.17429,0.07655
recon,197,0.0906,20.938,51,0.18131,-0.09071
recon,198,0.24538,20.757,34,0.18159,0.06379
recon,199,0.19792,25.278,25,0.1753,0.02262
naive,100,0.05709,73.421,8,0.11081,-0.05372
naive,101,0.03737,59.511,43,0.12605,-0.08868
naive,102,0.04702,50.201,33,0.13692,-0.08991
naive,103,0.03071,73.337,27,0.11089,-0.08018
naive,104,0.05947,60.846,25,0.1245,-0.06504
naive,105,0.08266,75.372,35,0.10889,-0.02623
naive,106,0.04438,71.69,51,0.11254,-0.06816
naive,107,0.04707,55.557,34,0.13044,-0.08338
naive,108,0.05605,67.904,74,0.1165,-0.06045
naive,109,0.10515,85.325,94,0.09985,0.00531
naive,110,0.12573,69.336,92,0.11498,0.01075
naive,111,0.10184,53.007,25,0.13345,-0.03161
