condition,src,split,plateau_auc_low,dist_to_source,norm,output_kl,log10_output_kl
recon,0,train,0.18588,24.836,68.315,0.043888,-1.3577
recon,1,train,0.93472,14.789,59.823,0.000314,-3.5024
recon,2,train,0.11315,30.141,75.303,0.303888,-0.5173
recon,3,train,0.17692,19.651,81.045,0.029839,-1.5252
recon,4,train,0.11956,32.586,69.338,0.110523,-0.9565
recon,5,train,0.12346,22.149,70.879,0.196334,-0.707
recon,6,train,0.10553,28.348,55.08,0.09556,-1.0197
recon,7,train,0.13574,41.337,66.192,0.10617,-0.974
recon,8,train,0.15019,15.736,64.853,0.034713,-1.4595
recon,9,train,0.21132,46.422,62.902,0.062526,-1.2039
recon,10,train,0.12532,18.695,82.381,0.050882,-1.2934
recon,11,train,0.1167,47.073,64.213,0.290487,-0.5369
recon,12,train,0.27296,37.969,112.215,0.043699,-1.3595
recon,13,train,0.1292,27.396,73.265,0.087503,-1.058
recon,14,train,0.05311,46.948,56.252,7.954879,0.9006
recon,15,train,0.19975,38.583,65.865,0.050189,-1.2994
recon,16,train,0.18908,15.26,66.549,0.017753,-1.7507
recon,17,train,0.10263,25.664,66.237,0.12371,-0.9076
recon,18,train,0.30677,17.736,68.35,0.016635,-1.779
recon,19,train,0.11629,33.059,63.641,0.035435,-1.4506
recon,20,train,0.21374,20.166,68.609,0.056626,-1.247
recon,21,train,0.24458,22.694,93.308,0.012967,-1.8872
recon,22,train,0.13543,21.899,71.236,0.121837,-0.9142
recon,23,train,0.25069,26.558,72.51,0.034991,-1.456
recon,24,train,0.14036,31.51,70.907,0.070809,-1.1499
recon,25,train,0.53225,15.687,73.784,0.001437,-2.8425
recon,26,train,0.13681,23.213,65.214,0.189334,-0.7228
recon,27,train,0.10761,24.199,67.794,0.105533,-0.9766
recon,28,train,0.16273,24.611,58.177,0.047002,-1.3279
recon,29,train,0.23297,17.916,96.037,0.048044,-1.3184
recon,30,train,0.18541,26.181,84.972,0.069655,-1.157
recon,31,train,0.07009,24.911,75.928,0.048432,-1.3149
recon,32,train,0.1604,25.428,54.655,0.097531,-1.0109
recon,33,train,0.19069,20.781,72.603,0.011713,-1.9313
recon,34,train,0.15014,18.347,77.344,0.032913,-1.4826
recon,35,train,0.30546,12.199,62.001,0.008437,-2.0738
recon,36,train,0.09936,40.604,61.277,1.462268,0.165
recon,37,train,0.10588,36.879,64.931,0.742872,-0.1291
recon,38,train,0.16562,19.431,69.682,0.023874,-1.6221
recon,39,train,0.14386,25.651,73.31,0.139016,-0.8569
recon,40,train,0.0875,28.914,70.128,0.442982,-0.3536
recon,41,train,0.15898,22.2,73.402,0.038997,-1.409
recon,42,train,0.09896,31.049,66.33,0.387779,-0.4114
recon,43,train,0.2165,29.158,80.831,0.066222,-1.179
recon,44,train,0.24694,21.519,72.246,0.011617,-1.9349
recon,45,train,0.1165,22.773,59.57,0.092388,-1.0344
recon,46,train,0.21248,17.752,72.811,0.01591,-1.7983
recon,47,train,0.05955,62.514,53.386,12.11292,1.0832
recon,48,train,0.16125,26.836,59.373,0.463655,-0.3338
recon,49,train,0.1729,28.943,75.274,0.036692,-1.4354
recon,50,train,0.1583,24.88,61.518,0.042319,-1.3735
recon,51,train,0.06434,57.714,58.247,0.242974,-0.6144
recon,52,train,0.13705,27.764,61.123,0.196512,-0.7066
recon,53,train,0.24681,24.294,79.907,0.010081,-1.9965
recon,54,train,0.16586,24.391,61.24,0.206707,-0.6846
recon,55,train,0.08803,34.041,67.15,0.296328,-0.5282
recon,56,train,0.15856,20.361,80.06,0.015642,-1.8057
recon,57,train,0.16306,24.927,84.289,0.097641,-1.0104
recon,58,train,0.10833,27.636,69.16,0.170407,-0.7685
recon,59,train,0.24631,14.986,68.496,0.01024,-1.9897
recon,60,train,0.15004,22.23,76.348,0.023482,-1.6293
recon,61,train,0.98469,34.492,100.208,8e-05,-4.0972
recon,62,train,0.14646,25.393,72.367,0.086393,-1.0635
recon,63,train,0.86752,39.331,76.69,0.000344,-3.4638
recon,64,train,0.11972,15.792,70.106,0.03629,-1.4402
recon,65,train,0.13725,27.786,54.28,0.155629,-0.8079
recon,66,train,0.1633,26.732,58.945,0.067101,-1.1733
