condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
real,100,0.35033,0.0,319,,
real,101,0.16106,0.0,115,,
real,102,0.16967,0.0,115,,
real,103,0.09151,0.0,76,,
real,104,0.19414,0.0,77,,
real,105,0.27136,0.0,37,,
real,106,0.25709,0.0,97,,
real,107,0.17993,0.0,44,,
real,108,0.18137,0.0,66,,
real,109,0.20995,0.0,39,,
real,110,0.21822,0.0,229,,
real,111,0.13892,0.0,225,,
real,112,0.16655,0.0,183,,
real,113,0.15025,0.0,149,,
real,114,0.18808,0.0,59,,
real,115,0.21817,0.0,515,,
real,116,0.61039,0.0,75,,
real,117,0.1603,0.0,316,,
real,118,0.21277,0.0,157,,
real,119,0.58279,0.0,24,,
real,120,0.23644,0.0,97,,
real,121,0.21442,0.0,845,,
real,122,0.1737,0.0,177,,
real,123,0.12266,0.0,195,,
real,124,0.19722,0.0,193,,
real,125,0.11882,0.0,58,,
real,126,0.19281,0.0,94,,
real,127,0.28949,0.0,453,,
real,128,0.52931,0.0,878,,
real,129,0.26667,0.0,66,,
real,130,0.43512,0.0,55,,
real,131,0.1999,0.0,113,,
real,132,0.17419,0.0,159,,
real,133,0.17716,0.0,119,,
real,134,0.34636,0.0,264,,
real,135,0.34178,0.0,112,,
real,136,0.24459,0.0,314,,
real,137,0.16895,0.0,55,,
real,138,0.22996,0.0,41,,
real,139,0.19019,0.0,223,,
real,140,0.14733,0.0,116,,
real,141,0.20282,0.0,46,,
real,142,0.13677,0.0,154,,
real,143,0.25498,0.0,60,,
real,144,0.17571,0.0,46,,
real,145,0.29848,0.0,147,,
real,146,0.1174,0.0,79,,
real,147,0.2499,0.0,63,,
real,148,0.1489,0.0,35,,
real,149,0.64709,0.0,167,,
real,150,0.21448,0.0,102,,
real,151,0.18031,0.0,67,,
real,152,0.16631,0.0,96,,
real,153,0.18181,0.0,975,,
real,154,0.14335,0.0,40,,
real,155,0.31058,0.0,161,,
real,156,0.12123,0.0,63,,
real,157,0.10717,0.0,133,,
real,158,0.13887,0.0,199,,
real,159,0.13728,0.0,268,,
real,160,0.18917,0.0,158,,
real,161,0.19147,0.0,173,,
real,162,0.20489,0.0,320,,
real,163,0.2048,0.0,171,,
real,164,0.12928,0.0,115,,
real,165,0.18667,0.0,527,,
real,166,0.57513,0.0,141,,
real,167,0.40665,0.0,190,,
real,168,0.14696,0.0,62,,
real,169,0.17623,0.0,266,,
real,170,0.22609,0.0,131,,
real,171,0.14309,0.0,50,,
real,172,0.26349,0.0,241,,
real,173,0.15019,0.0,88,,
real,174,0.23509,0.0,222,,
real,175,0.14919,0.0,195,,
real,176,0.26068,0.0,66,,
real,177,0.06843,0.0,28,,
real,178,0.20156,0.0,33,,
