ood_set,method,measurement_point,auroc
random,cup-maha,input,0.8243
shuffled,cup-maha,input,0.4961
code,cup-maha,input,0.6959
random,cup-maha,resid3,0.7398
shuffled,cup-maha,resid3,0.5107
code,cup-maha,resid3,0.8850
random,cup-maha,resid6,0.7149
shuffled,cup-maha,resid6,0.5349
code,cup-maha,resid6,0.9126
random,cup-maha,resid9,0.6211
shuffled,cup-maha,resid9,0.4651
code,cup-maha,resid9,0.8877
random,cup-RMD,input,0.8123
shuffled,cup-RMD,input,0.5087
code,cup-RMD,input,0.7132
random,cup-RMD,resid3,0.7396
shuffled,cup-RMD,resid3,0.5167
code,cup-RMD,resid3,0.8917
random,cup-RMD,resid6,0.7283
shuffled,cup-RMD,resid6,0.5475
code,cup-RMD,resid6,0.9178
random,cup-RMD,resid9,0.6629
shuffled,cup-RMD,resid9,0.4928
code,cup-RMD,resid9,0.8998
random,cup-QUE,input,0.8242
shuffled,cup-QUE,input,0.4962
code,cup-QUE,input,0.6963
random,cup-QUE,resid3,0.7398
shuffled,cup-QUE,resid3,0.5073
code,cup-QUE,resid3,0.8952
random,cup-QUE,resid6,0.7280
shuffled,cup-QUE,resid6,0.5446
code,cup-QUE,resid6,0.9102
random,cup-QUE,resid9,0.6335
shuffled,cup-QUE,resid9,0.4885
code,cup-QUE,resid9,0.8835
random,cup-spectral,input,0.7799
shuffled,cup-spectral,input,0.4928
code,cup-spectral,input,0.3680
random,cup-spectral,resid3,0.6499
shuffled,cup-spectral,resid3,0.4830
code,cup-spectral,resid3,0.4077
random,cup-spectral,resid6,0.3713
shuffled,cup-spectral,resid6,0.4520
code,cup-spectral,resid6,0.5198
random,cup-spectral,resid9,0.2628
shuffled,cup-spectral,resid9,0.4175
code,cup-spectral,resid9,0.5006
