ood_set,measurement_point,eps,auroc
random,input,0.25,0.8732
random,input,0.5,0.8728
random,input,1.0,0.8708
random,input,2.0,0.869
random,input,4.0,0.8313
random,input,6.0,0.4374
random,input,8.0,0.1691
random,input,12.0,0.1156
random,input,16.0,0.1162
random,input,24.0,0.1161
random,resid3,0.25,0.6509
random,resid3,0.5,0.6479
random,resid3,1.0,0.6469
random,resid3,2.0,0.6471
random,resid3,4.0,0.6465
random,resid3,6.0,0.6469
random,resid3,8.0,0.6459
random,resid3,12.0,0.6428
random,resid3,16.0,0.6369
random,resid3,24.0,0.617
random,resid6,0.25,0.6025
random,resid6,0.5,0.6016
random,resid6,1.0,0.6004
random,resid6,2.0,0.6
random,resid6,4.0,0.5995
random,resid6,6.0,0.5983
random,resid6,8.0,0.5971
random,resid6,12.0,0.5938
random,resid6,16.0,0.5904
random,resid6,24.0,0.5809
random,resid9,0.25,0.7034
random,resid9,0.5,0.7016
random,resid9,1.0,0.6997
random,resid9,2.0,0.6996
random,resid9,4.0,0.6996
random,resid9,6.0,0.6998
random,resid9,8.0,0.6995
random,resid9,12.0,0.6988
random,resid9,16.0,0.6979
random,resid9,24.0,0.6952
shuffled,input,0.25,0.5423
shuffled,input,0.5,0.5411
shuffled,input,1.0,0.5418
shuffled,input,2.0,0.5466
shuffled,input,4.0,0.5542
shuffled,input,6.0,0.326
shuffled,input,8.0,0.1357
shuffled,input,12.0,0.0613
shuffled,input,16.0,0.0609
shuffled,input,24.0,0.0609
shuffled,resid3,0.25,0.5358
shuffled,resid3,0.5,0.5359
shuffled,resid3,1.0,0.5359
shuffled,resid3,2.0,0.5359
shuffled,resid3,4.0,0.5356
shuffled,resid3,6.0,0.534
shuffled,resid3,8.0,0.5314
shuffled,resid3,12.0,0.5261
shuffled,resid3,16.0,0.5169
shuffled,resid3,24.0,0.4963
shuffled,resid6,0.25,0.4197
shuffled,resid6,0.5,0.4208
shuffled,resid6,1.0,0.4207
shuffled,resid6,2.0,0.4204
shuffled,resid6,4.0,0.42
shuffled,resid6,6.0,0.4192
shuffled,resid6,8.0,0.4183
shuffled,resid6,12.0,0.416
shuffled,resid6,16.0,0.413
shuffled,resid6,24.0,0.4067
shuffled,resid9,0.25,0.4807
shuffled,resid9,0.5,0.482
shuffled,resid9,1.0,0.4813
shuffled,resid9,2.0,0.4812
shuffled,resid9,4.0,0.481
shuffled,resid9,6.0,0.481
shuffled,resid9,8.0,0.4809
shuffled,resid9,12.0,0.4803
shuffled,resid9,16.0,0.4798
shuffled,resid9,24.0,0.478
code,input,0.25,0.5849
code,input,0.5,0.5851
code,input,1.0,0.5899
code,input,2.0,0.599
code,input,4.0,0.5776
code,input,6.0,0.4915
code,input,8.0,0.4576
code,input,12.0,0.5664
code,input,16.0,0.6059
code,input,24.0,0.6142
code,resid3,0.25,0.5056
code,resid3,0.5,0.504
code,resid3,1.0,0.5041
code,resid3,2.0,0.5047
code,resid3,4.0,0.5054
code,resid3,6.0,0.5059
code,resid3,8.0,0.5056
code,resid3,12.0,0.5059
code,resid3,16.0,0.5064
code,resid3,24.0,0.508
code,resid6,0.25,0.5002
code,resid6,0.5,0.4988
code,resid6,1.0,0.4983
code,resid6,2.0,0.4979
code,resid6,4.0,0.4981
code,resid6,6.0,0.4981
code,resid6,8.0,0.4978
code,resid6,12.0,0.497
code,resid6,16.0,0.496
code,resid6,24.0,0.4989
code,resid9,0.25,0.4919
code,resid9,0.5,0.4884
code,resid9,1.0,0.487
code,resid9,2.0,0.4865
code,resid9,4.0,0.4863
code,resid9,6.0,0.4867
code,resid9,8.0,0.4873
code,resid9,12.0,0.4881
code,resid9,16.0,0.4887
code,resid9,24.0,0.4914
