model,ood_set,method,measurement_point,auroc
gpt2,random,baseline-MSP,n/a,0.9318
gpt2,random,rand-points-disp,input,0.261
gpt2,random,rand-points-ent,input,1.0
gpt2,random,baseline-mahalanobis,input,0.8336
gpt2,random,rand-points-disp,resid3,0.3063
gpt2,random,rand-points-ent,resid3,0.9966
gpt2,random,baseline-mahalanobis,resid3,0.7384
gpt2,random,rand-points-disp,resid6,0.4214
gpt2,random,rand-points-ent,resid6,0.9922
gpt2,random,baseline-mahalanobis,resid6,0.7146
gpt2,random,rand-points-disp,resid9,0.5179
gpt2,random,rand-points-ent,resid9,0.9946
gpt2,random,baseline-mahalanobis,resid9,0.6201
gpt2,shuffled,baseline-MSP,n/a,0.8722
gpt2,shuffled,rand-points-disp,input,0.2666
gpt2,shuffled,rand-points-ent,input,0.842
gpt2,shuffled,baseline-mahalanobis,input,0.4988
gpt2,shuffled,rand-points-disp,resid3,0.0425
gpt2,shuffled,rand-points-ent,resid3,0.8857
gpt2,shuffled,baseline-mahalanobis,resid3,0.5111
gpt2,shuffled,rand-points-disp,resid6,0.0918
gpt2,shuffled,rand-points-ent,resid6,0.8731
gpt2,shuffled,baseline-mahalanobis,resid6,0.5348
gpt2,shuffled,rand-points-disp,resid9,0.2888
gpt2,shuffled,rand-points-ent,resid9,0.871
gpt2,shuffled,baseline-mahalanobis,resid9,0.4642
gpt2,code,baseline-MSP,n/a,0.359
gpt2,code,rand-points-disp,input,0.6446
gpt2,code,rand-points-ent,input,0.4351
gpt2,code,baseline-mahalanobis,input,0.679
gpt2,code,rand-points-disp,resid3,0.7066
gpt2,code,rand-points-ent,resid3,0.5655
gpt2,code,baseline-mahalanobis,resid3,0.8848
gpt2,code,rand-points-disp,resid6,0.6842
gpt2,code,rand-points-ent,resid6,0.5078
gpt2,code,baseline-mahalanobis,resid6,0.9126
gpt2,code,rand-points-disp,resid9,0.5031
gpt2,code,rand-points-ent,resid9,0.4259
gpt2,code,baseline-mahalanobis,resid9,0.8878
gpt2-large,random,baseline-MSP,n/a,0.9573
gpt2-large,random,rand-points-disp,input,0.0416
gpt2-large,random,rand-points-ent,input,1.0
gpt2-large,random,baseline-mahalanobis,input,0.8879
gpt2-large,random,rand-points-disp,resid9,0.0352
gpt2-large,random,rand-points-ent,resid9,0.9999
gpt2-large,random,baseline-mahalanobis,resid9,0.7776
gpt2-large,random,rand-points-disp,resid18,0.2319
gpt2-large,random,rand-points-ent,resid18,0.9992
gpt2-large,random,baseline-mahalanobis,resid18,0.7457
gpt2-large,random,rand-points-disp,resid27,0.4362
gpt2-large,random,rand-points-ent,resid27,0.9926
gpt2-large,random,baseline-mahalanobis,resid27,0.5152
gpt2-large,shuffled,baseline-MSP,n/a,0.9142
gpt2-large,shuffled,rand-points-disp,input,0.0592
gpt2-large,shuffled,rand-points-ent,input,0.9796
gpt2-large,shuffled,baseline-mahalanobis,input,0.5632
gpt2-large,shuffled,rand-points-disp,resid9,0.0079
gpt2-large,shuffled,rand-points-ent,resid9,0.909
gpt2-large,shuffled,baseline-mahalanobis,resid9,0.5312
gpt2-large,shuffled,rand-points-disp,resid18,0.0375
gpt2-large,shuffled,rand-points-ent,resid18,0.8644
gpt2-large,shuffled,baseline-mahalanobis,resid18,0.5775
gpt2-large,shuffled,rand-points-disp,resid27,0.256
gpt2-large,shuffled,rand-points-ent,resid27,0.902
gpt2-large,shuffled,baseline-mahalanobis,resid27,0.4906
gpt2-large,code,baseline-MSP,n/a,0.3259
gpt2-large,code,rand-points-disp,input,0.5499
gpt2-large,code,rand-points-ent,input,0.3614
gpt2-large,code,baseline-mahalanobis,input,0.7182
gpt2-large,code,rand-points-disp,resid9,0.5511
gpt2-large,code,rand-points-ent,resid9,0.3032
gpt2-large,code,baseline-mahalanobis,resid9,0.756
gpt2-large,code,rand-points-disp,resid18,0.5958
gpt2-large,code,rand-points-ent,resid18,0.3817
gpt2-large,code,baseline-mahalanobis,resid18,0.8422
gpt2-large,code,rand-points-disp,resid27,0.5504
gpt2-large,code,rand-points-ent,resid27,0.4304
gpt2-large,code,baseline-mahalanobis,resid27,0.7557
