task,ood_set,method,measurement_point,auroc
fineweb-vs,random,baseline-MSP,n/a,0.9316
fineweb-vs,random,baseline-mahalanobis,input,0.8336
fineweb-vs,random,cup-RMD,input,0.8124
fineweb-vs,random,cup-QUE,input,0.7821
fineweb-vs,random,plateau-perturbation,input,0.4374
fineweb-vs,random,plateau-jacFrob,input,0.734
fineweb-vs,random,selfNLL-grad,input,0.9234
fineweb-vs,random,baseline-L2norm,input,0.8585
fineweb-vs,random,baseline-mahalanobis,resid3,0.7385
fineweb-vs,random,cup-RMD,resid3,0.7396
fineweb-vs,random,cup-QUE,resid3,0.7333
fineweb-vs,random,plateau-perturbation,resid3,0.6469
fineweb-vs,random,plateau-jacFrob,resid3,0.3271
fineweb-vs,random,selfNLL-grad,resid3,0.8122
fineweb-vs,random,baseline-L2norm,resid3,0.6314
fineweb-vs,random,baseline-mahalanobis,resid6,0.7148
fineweb-vs,random,cup-RMD,resid6,0.7283
fineweb-vs,random,cup-QUE,resid6,0.7025
fineweb-vs,random,plateau-perturbation,resid6,0.5983
fineweb-vs,random,plateau-jacFrob,resid6,0.2119
fineweb-vs,random,selfNLL-grad,resid6,0.8061
fineweb-vs,random,baseline-L2norm,resid6,0.4641
fineweb-vs,random,baseline-mahalanobis,resid9,0.6207
fineweb-vs,random,cup-RMD,resid9,0.6629
fineweb-vs,random,cup-QUE,resid9,0.6032
fineweb-vs,random,plateau-perturbation,resid9,0.6997
fineweb-vs,random,plateau-jacFrob,resid9,0.1445
fineweb-vs,random,selfNLL-grad,resid9,0.811
fineweb-vs,random,baseline-L2norm,resid9,0.2242
fineweb-vs,shuffled,baseline-MSP,n/a,0.872
fineweb-vs,shuffled,baseline-mahalanobis,input,0.4988
fineweb-vs,shuffled,cup-RMD,input,0.5088
fineweb-vs,shuffled,cup-QUE,input,0.5082
fineweb-vs,shuffled,plateau-perturbation,input,0.326
fineweb-vs,shuffled,plateau-jacFrob,input,0.3704
fineweb-vs,shuffled,selfNLL-grad,input,0.6394
fineweb-vs,shuffled,baseline-L2norm,input,0.4917
fineweb-vs,shuffled,baseline-mahalanobis,resid3,0.5108
fineweb-vs,shuffled,cup-RMD,resid3,0.5167
fineweb-vs,shuffled,cup-QUE,resid3,0.5173
fineweb-vs,shuffled,plateau-perturbation,resid3,0.534
fineweb-vs,shuffled,plateau-jacFrob,resid3,0.2366
fineweb-vs,shuffled,selfNLL-grad,resid3,0.6546
fineweb-vs,shuffled,baseline-L2norm,resid3,0.3827
fineweb-vs,shuffled,baseline-mahalanobis,resid6,0.5347
fineweb-vs,shuffled,cup-RMD,resid6,0.5475
fineweb-vs,shuffled,cup-QUE,resid6,0.5236
fineweb-vs,shuffled,plateau-perturbation,resid6,0.4192
fineweb-vs,shuffled,plateau-jacFrob,resid6,0.111
fineweb-vs,shuffled,selfNLL-grad,resid6,0.6014
fineweb-vs,shuffled,baseline-L2norm,resid6,0.4401
fineweb-vs,shuffled,baseline-mahalanobis,resid9,0.4646
fineweb-vs,shuffled,cup-RMD,resid9,0.4928
fineweb-vs,shuffled,cup-QUE,resid9,0.4811
fineweb-vs,shuffled,plateau-perturbation,resid9,0.481
fineweb-vs,shuffled,plateau-jacFrob,resid9,0.0708
fineweb-vs,shuffled,selfNLL-grad,resid9,0.5871
fineweb-vs,shuffled,baseline-L2norm,resid9,0.4338
fineweb-vs,code,baseline-MSP,n/a,0.3594
fineweb-vs,code,baseline-mahalanobis,input,0.6791
fineweb-vs,code,cup-RMD,input,0.7133
fineweb-vs,code,cup-QUE,input,0.581
fineweb-vs,code,plateau-perturbation,input,0.4915
fineweb-vs,code,plateau-jacFrob,input,0.6487
fineweb-vs,code,selfNLL-grad,input,0.5164
fineweb-vs,code,baseline-L2norm,input,0.5714
fineweb-vs,code,baseline-mahalanobis,resid3,0.8848
fineweb-vs,code,cup-RMD,resid3,0.8917
fineweb-vs,code,cup-QUE,resid3,0.668
fineweb-vs,code,plateau-perturbation,resid3,0.5059
fineweb-vs,code,plateau-jacFrob,resid3,0.625
fineweb-vs,code,selfNLL-grad,resid3,0.4737
fineweb-vs,code,baseline-L2norm,resid3,0.63
fineweb-vs,code,baseline-mahalanobis,resid6,0.9126
fineweb-vs,code,cup-RMD,resid6,0.9178
fineweb-vs,code,cup-QUE,resid6,0.628
fineweb-vs,code,plateau-perturbation,resid6,0.498
fineweb-vs,code,plateau-jacFrob,resid6,0.6257
fineweb-vs,code,selfNLL-grad,resid6,0.4657
fineweb-vs,code,baseline-L2norm,resid6,0.6387
fineweb-vs,code,baseline-mahalanobis,resid9,0.8878
fineweb-vs,code,cup-RMD,resid9,0.8998
fineweb-vs,code,cup-QUE,resid9,0.5629
fineweb-vs,code,plateau-perturbation,resid9,0.4867
fineweb-vs,code,plateau-jacFrob,resid9,0.5819
fineweb-vs,code,selfNLL-grad,resid9,0.4631
fineweb-vs,code,baseline-L2norm,resid9,0.3574
