ood_set,method,point,real,vendored,abs_diff
code,cup-QUE,input,0.6963,0.5557,0.1406
code,cup-QUE,resid3,0.8952,0.6303,0.2649
code,cup-QUE,resid6,0.9102,0.5724,0.3378
code,cup-QUE,resid9,0.8835,0.5278,0.3557
code,cup-RMD,input,0.7132,0.6708,0.0424
code,cup-RMD,resid3,0.8917,0.8840,0.0077
code,cup-RMD,resid6,0.9178,0.9168,0.0010
code,cup-RMD,resid9,0.8998,0.8991,0.0007
random,cup-QUE,input,0.8242,0.7496,0.0746
random,cup-QUE,resid3,0.7398,0.6110,0.1288
random,cup-QUE,resid6,0.7280,0.5443,0.1837
random,cup-QUE,resid9,0.6335,0.6386,0.0051
random,cup-RMD,input,0.8123,0.8206,0.0083
random,cup-RMD,resid3,0.7396,0.7667,0.0271
random,cup-RMD,resid6,0.7283,0.7592,0.0309
random,cup-RMD,resid9,0.6629,0.5975,0.0654
shuffled,cup-QUE,input,0.4962,0.5262,0.0300
shuffled,cup-QUE,resid3,0.5073,0.5213,0.0140
shuffled,cup-QUE,resid6,0.5446,0.4960,0.0486
shuffled,cup-QUE,resid9,0.4885,0.4677,0.0208
shuffled,cup-RMD,input,0.5087,0.5240,0.0153
shuffled,cup-RMD,resid3,0.5167,0.5446,0.0279
shuffled,cup-RMD,resid6,0.5475,0.5830,0.0355
shuffled,cup-RMD,resid9,0.4928,0.4807,0.0121
